,OSH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),2.39,1.32,Valuation,1.8106060606060606
Price/Book (MRQ),,4.31,Valuation,
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.0318,0.1318,Profitability,0.24127465857359637
Operating Profit Margin (TTM),-0.24050000000000002,0.0458,Profitability,-5.251091703056769
Net Profit Margin (TTM),-0.2608,0.0242,Profitability,-10.776859504132231
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.1439,-0.1478,Gowth rates,-0.9736129905277403
EPS Growth (TTM),-0.39909999999999995,-1.101,Gowth rates,0.36248864668483194
Revenue Growth (MRQ),0.042,0.0931,Gowth rates,0.4511278195488722
Revenue Growth (TTM),0.5361,0.1191,Gowth rates,4.501259445843829
Return On Equity (TTM),,7.2022,Effectiveness,
Return On Assets (TTM),-0.265,0.0403,Effectiveness,-6.575682382133995
Return On Investment (TTM),-0.4239,0.016,Effectiveness,-26.49375
Revenue Per Employee (TTM),520342.0,1375304.0,Effectiveness,0.3783468963952697
Total Debt/Total Capital (MRQ),1.1894,0.4855,Financial strength,2.4498455200823894
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0015,Financial strength,-0.46666666666666673
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),,9.55,Financial strength,
