,OSH
% Above Low,0.48009999999999997
% Held by Institutions,0.9776
52-Wk Range,['13.29 - 35.61']
Annual Dividend $,
Annual Dividend %,
Ask,19.69
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,19.52
Bid Size,100.0
Day Change $,0.25
Day Change %,0.0129
Day High,19.81
Day Low,19.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.27
Ex-dividend Date,No dividend
Historical Volatility,0.8490000000000001
Last (size),10.0
Last (time),9:42a ET 11/28/22
Market Cap,4.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,19.42
Price,19.67
Short Interest,0.1303
Today's Open,19.37
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.22340425531914887
Growth 1yr High Est,0.43243243243243246
Growth 1yr Consensus Est,0.32791834387579066
Growth 2yr Low Est,0.037789084181313604
Growth 2yr High Est,0.13131055583885776
Growth 2yr Consensus Est,0.08454982001008568
Growth 5yr Low Est,0.037789084181313604
Growth 5yr High Est,0.13131055583885776
Growth 5yr Consensus Est,0.08454982001008568
Growth 5yr Actual/Est,0.7689074991504657
Growth 3yr Historic,0.7818181818181817
Price/Earnings (TTM),
Price/Sales (TTM),2.38579
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,13.29
5yr High,66.31
5yr Avg Return,-0.14283333333333337
Short Int Current Month,20702498.0
Short Int Prev Month,21545017.0
Short Int Pct of Float,0.1302539
Days to Cover,9.76122
Float,220.3241
Shares Outstanding,242.9159
Institutions Holding Shares,309.0
FCF Growth 5yr,0.21845285711453055
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0318
Operating Profit Margin (TTM),-0.24050000000000002
Net Profit Margin (TTM),-0.2608
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1439
EPS Growth (TTM),-0.39909999999999995
Revenue Growth (MRQ),0.042
Revenue Growth (TTM),0.5361
Return On Equity (TTM),
Return On Assets (TTM),-0.265
Return On Investment (TTM),-0.4239
Revenue Per Employee (TTM),520342.0
Total Debt/Total Capital (MRQ),1.1894
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-12-01 00:00:00
theStreet since,2021-12-01 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-01-14 00:00:00
cfra since,
marketEdge opinion since,
