,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,64.39,66.31,34.63,,,,,
low,34.98,26.92,13.29,,,,,
change,0.4391,-0.4581,-0.40950000000000003,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,105.0,108.0,118.0,204.0,Balance Sheet
Short Term Investments,,,,671.0,552.0,430.0,339.0,Balance Sheet
Cash and Short Term Invs,,,,776.0,660.0,548.0,543.0,Balance Sheet
"Trade Accts Recvble, Net",,,,559.0,700.0,826.0,836.0,Balance Sheet
Other Receivables,,,,3.0,,3.0,,Balance Sheet
"Total Receivables, Net",,,,563.0,700.0,828.0,836.0,Balance Sheet
Prepaid Expenses,,,,8.0,15.0,11.0,18.0,Balance Sheet
Restricted Cash - Current,,,,16.0,17.0,19.0,19.0,Balance Sheet
Other Current Assets,,,,6.0,,,,Balance Sheet
"Other Curr. Assets, Total",,,,22.0,17.0,19.0,19.0,Balance Sheet
Total Current Assets,,,,1368.0,1392.0,1405.0,1416.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,303.0,341.0,488.0,509.0,Balance Sheet
"Goodwill, Net",,,,153.0,153.0,153.0,158.0,Balance Sheet
Intangibles - Net,,,,11.0,10.0,10.0,10.0,Balance Sheet
Other Long Term Assets,,,,7.0,7.0,8.0,8.0,Balance Sheet
Total Assets,,,,1841.0,1903.0,2063.0,2101.0,Balance Sheet
Accounts Payable,,,,22.0,28.0,24.0,26.0,Balance Sheet
Accrued Expenses,,,,57.0,67.0,64.0,47.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,,Balance Sheet
Customer Advances,,,,,6.0,6.0,,Balance Sheet
Other Current Liabilities,,,,585.0,675.0,804.0,834.0,Balance Sheet
"Other Curr. Lblts, Total",,,,585.0,681.0,810.0,834.0,Balance Sheet
Total Current Liabilities,,,,664.0,776.0,897.0,907.0,Balance Sheet
Total Long Term Debt,,,,901.0,903.0,904.0,977.0,Balance Sheet
Total Debt,,,,901.0,903.0,904.0,977.0,Balance Sheet
Minority Interest,,,,5.0,5.0,5.0,5.0,Balance Sheet
"Other Liabilities, Total",,,,220.0,227.0,364.0,373.0,Balance Sheet
Total Liabilities,,,,1790.0,1911.0,2170.0,2261.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,0.0,0.0,,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,1018.0,1059.0,1109.0,1185.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-965.0,-1062.0,-1211.0,-1342.0,Balance Sheet
"Other Equity, Total",,,,-1.0,-4.0,-5.0,-4.0,Balance Sheet
Total Equity,,,,51.0,-7.0,-107.0,-160.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1841.0,1903.0,2063.0,2101.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,241.0,241.0,241.0,245.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,394.0,514.0,524.0,546.0,Income Statement
"Cost of Revenue, Total",,,,408.0,475.0,491.0,541.0,Income Statement
Selling/Gen/Admin Expense,,,,82.0,84.0,89.0,126.0,Income Statement
Labor & Related Expense,,,,39.0,39.0,49.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,121.0,123.0,138.0,126.0,Income Statement
Depreciation,,,,6.0,8.0,8.0,9.0,Income Statement
Amortiz of Intangibles,,,,1.0,,0.0,,Income Statement
Depreciation/Amortization,,,,6.0,8.0,8.0,9.0,Income Statement
Unusual Expense (Income),,,,0.0,,,,Income Statement
Total Operating Expense,,,,536.0,605.0,636.0,676.0,Income Statement
Total Operating Income,,,,-142.0,-91.0,-113.0,-130.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-1.0,-1.0,-1.0,0.0,Income Statement
OtherNon-OperatInc (Expnse),,,,0.0,-5.0,-35.0,0.0,Income Statement
"Other, Net",,,,0.0,-5.0,-35.0,0.0,Income Statement
Income Before Tax,,,,-142.0,-97.0,-148.0,-130.0,Income Statement
Income Tax - Total,,,,-2.0,,,,Income Statement
Income After Tax,,,,-140.0,-97.0,-148.0,-130.0,Income Statement
Minority Interest,,,,2.0,0.0,-1.0,0.0,Income Statement
Net Inc Before Extra Items,,,,-139.0,-97.0,-149.0,-131.0,Income Statement
Total Net Income,,,,-139.0,-97.0,-149.0,-131.0,Income Statement
Total Adjust to Net Income,,,,0.0,,,,Income Statement
Income Available to Common Excl. Extra. Items,,,,-139.0,-97.0,-149.0,-131.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-139.0,-97.0,-149.0,-131.0,Income Statement
Basic/Primary Weighted Average Shares,,,,224.0,226.0,226.0,232.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.62,-0.43,-0.66,-0.56,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.62,-0.43,-0.66,-0.56,Income Statement
Diluted Weighted Average Shares,,,,224.0,226.0,226.0,232.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.62,-0.43,-0.66,-0.56,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.62,-0.43,-0.66,-0.56,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,1.0,1.0,1.0,0.0,Income Statement
"Depreciat/Amort, Suppl",,,,6.0,7.0,8.0,9.0,Income Statement
Total Special Items,,,,2.0,2.0,1.0,2.0,Income Statement
Normalzd Income Before Tax,,,,-140.0,-95.0,-147.0,-128.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,1.0,0.0,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,-1.0,0.0,0.0,0.0,Income Statement
Normalized Income After Tax,,,,-139.0,-95.0,-147.0,-128.0,Income Statement
Normalzd Inc Avail to Common,,,,-137.0,-95.0,-148.0,-129.0,Income Statement
Basic Normalized EPS,,,,-0.61,-0.42,-0.65,-0.55,Income Statement
Diluted Normalized EPS,,,,-0.61,-0.42,-0.65,-0.55,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-415.0,-97.0,-245.0,-375.0,Cash Flow
Depreciation/Depletion,,,,18.0,8.0,16.0,25.0,Cash Flow
Unusual Items,,,,0.0,5.0,38.0,38.0,Cash Flow
Other Non-Cash Items,,,,168.0,43.0,96.0,128.0,Cash Flow
Non-Cash Items,,,,168.0,48.0,134.0,167.0,Cash Flow
"Cash Interest Pd, Suppl",,,,0.0,,,,Cash Flow
Accounts Receivable,,,,-305.0,-137.0,-266.0,-273.0,Cash Flow
Other Assets,,,,-3.0,-2.0,3.0,-5.0,Cash Flow
Accounts Payable,,,,6.0,4.0,1.0,7.0,Cash Flow
Accrued Expenses,,,,13.0,1.0,9.0,16.0,Cash Flow
Changes in Working Capital,,,,32.0,-50.0,-84.0,-30.0,Cash Flow
Total Cash from Operations,,,,-197.0,-91.0,-179.0,-213.0,Cash Flow
Capital Expenditures,,,,-81.0,-20.0,-40.0,-68.0,Cash Flow
Acquisition of Business,,,,-124.0,,,-6.0,Cash Flow
Sale of Business,,,,,,0.0,,Cash Flow
Sale/Maturity of Investment,,,,194.0,288.0,546.0,717.0,Cash Flow
Purchase of Investments,,,,-876.0,-174.0,-312.0,-392.0,Cash Flow
Other Investing Cash Flow,,,,0.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-806.0,114.0,234.0,319.0,Cash Flow
Total Cash from Investing,,,,-887.0,94.0,195.0,251.0,Cash Flow
Financing Cash Flow Items,,,,3.0,-2.0,-3.0,-25.0,Cash Flow
Sale/Issuance of Common,,,,3.0,2.0,2.0,4.0,Cash Flow
Repurch/Retirement Common,,,,-124.0,,0.0,0.0,Cash Flow
"Common Stock, Net",,,,-121.0,2.0,2.0,4.0,Cash Flow
Options Exercised,,,,5.0,2.0,2.0,13.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,-115.0,4.0,4.0,18.0,Cash Flow
Long Term Debt Issued,,,,898.0,,0.0,72.0,Cash Flow
Long Term Debt Reduction,,,,0.0,,,,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,898.0,,0.0,72.0,Cash Flow
Total Cash From Financing,,,,785.0,2.0,1.0,65.0,Cash Flow
Net Change in Cash,,,,-299.0,5.0,16.0,103.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,420.0,120.0,120.0,120.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,120.0,125.0,137.0,223.0,Cash Flow
"Depreciation, Supplemental",,,,18.0,8.0,16.0,25.0,Cash Flow
Free Cash Flow,,,,-278.0,-111.0,-219.0,-281.0,
FCF Growth,,,,,-0.6007194244604317,0.972972972972973,0.2831050228310503,
