,TDG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",47.77,50.64,Valuation,0.9433254344391786
Price/Sales (TTM),6.38,4.74,Valuation,1.3459915611814346
Price/Book (MRQ),,4.28,Valuation,
"PEG Ratio (TTM, GAAP)",1.82,1.95,Valuation,0.9333333333333333
Gross Profit Margin (TTM),0.5722,0.19460000000000002,Profitability,2.9403905447070913
Operating Profit Margin (TTM),0.40850000000000003,-0.5263,Profitability,-0.776173285198556
Net Profit Margin (TTM),0.1595,-0.5391,Profitability,-0.295863476163977
Annual Dividend Yield,,0.0139,Dividend,
Dividend Change %,,0.0564,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),-0.053700000000000005,-3.8235,Gowth rates,0.014044723420949392
EPS Growth (TTM),0.2853,0.2595,Gowth rates,1.0994219653179191
Revenue Growth (MRQ),0.0801,0.0689,Gowth rates,1.16255442670537
Revenue Growth (TTM),0.1313,0.0147,Gowth rates,8.931972789115646
Return On Equity (TTM),,0.1825,Effectiveness,
Return On Assets (TTM),0.0463,0.047,Effectiveness,0.9851063829787234
Return On Investment (TTM),0.050499999999999996,0.0521,Effectiveness,0.9692898272552782
Revenue Per Employee (TTM),377014.0,411752.0,Effectiveness,0.9156336824107716
Total Debt/Total Capital (MRQ),1.2328000000000001,0.5861,Financial strength,2.103395325029859
Change in Debt/Total Capital Quarter over Quarter,0.0006,-0.0001,Financial strength,-5.999999999999999
Quick Ratio (MRQ),3.03,1.06,Financial strength,2.8584905660377355
Interest Coverage (MRQ),2.28,7.88,Financial strength,0.2893401015228426
