,TDG
% Below High,0.1148
% Held by Institutions,0.9594
52-Wk Range,['499.63 - 684.72']
Annual Dividend $,
Annual Dividend %,
Ask,617.4
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.4
Bid,520.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,606.09
Day Change $,-30.45
Day Change %,-0.0478
Day High,620.94
Day Low,602.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",13.32
Ex-dividend Date,No dividend
Historical Volatility,0.36600000000000005
Last (size),2000.0
Last (time),4:00p ET 11/28/22
Last Trade,606.09
Market Cap,33.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.77
Prev Close,636.54
Short Interest,0.031400000000000004
Today's Open,619.23
Volume,309326.0
Volume 10-day Avg,246559.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.252336448598131
Growth 1yr High Est,0.3543490951546995
Growth 1yr Consensus Est,0.30334277187641523
Growth 2yr Low Est,0.2565164830055331
Growth 2yr High Est,0.26467454757734976
Growth 2yr Consensus Est,0.2605955152914414
Growth 5yr Low Est,0.30987536054443604
Growth 5yr High Est,0.2547962496946812
Growth 5yr Consensus Est,0.28233580511955864
Growth 5yr Actual/Est,0.18156984598366535
Growth 3yr Historic,0.06282791641574717
Price/Earnings (TTM),47.7715
Price/Sales (TTM),6.37532
Price/Book (MRQ),
Price/Cash Flow (TTM),30.93084
5yr Low,200.06
5yr High,688.03
5yr Avg Return,0.16424999999999998
EPS Growth 5yr,0.0963299
Revenue Growth 5yr,0.09150080000000001
Dividend Growth 5yr,
Short Int Current Month,1653273.0
Short Int Prev Month,1807801.0
Short Int Pct of Float,0.0313775
Days to Cover,5.09215
Float,52.69015
Shares Outstanding,54.3746
Institutions Holding Shares,856.0
FCF Growth 5yr,0.5100515296698566
"Price/Earnings (TTM, GAAP)",47.77
"PEG Ratio (TTM, GAAP)",1.82
Gross Profit Margin (TTM),0.5722
Operating Profit Margin (TTM),0.40850000000000003
Net Profit Margin (TTM),0.1595
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.053700000000000005
EPS Growth (TTM),0.2853
Revenue Growth (MRQ),0.0801
Revenue Growth (TTM),0.1313
Return On Equity (TTM),
Return On Assets (TTM),0.0463
Return On Investment (TTM),0.050499999999999996
Revenue Per Employee (TTM),377014.0
Total Debt/Total Capital (MRQ),1.2328000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),3.03
Interest Coverage (MRQ),2.28
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-08-19 00:00:00
cfra since,2016-10-24 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
