,MTD
% Below High,0.15460000000000002
% Held by Institutions,0.953
52-Wk Range,"['1,065.55 - 1,714.75']"
Annual Dividend $,
Annual Dividend %,
Ask,1500.48
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,580.0
Bid Size,200.0
Closing Price,1449.69
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",36.54
Ex-dividend Date,No dividend
Historical Volatility,0.36600000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,32.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.67
Prev Close,1449.69
Short Interest,0.0146
Today's Open,
Volume,34695.0
Volume 10-day Avg,102265.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.17551266586248504
Growth 1yr High Est,0.1608785989907986
Growth 1yr Consensus Est,0.16819563242664182
Growth 2yr Low Est,0.12431354175628107
Growth 2yr High Est,0.13528460760074323
Growth 2yr Consensus Est,0.12979907467851215
Growth 5yr Low Est,0.17658430476662512
Growth 5yr High Est,0.17901264423853525
Growth 5yr Consensus Est,0.17779847450258018
Growth 5yr Actual/Est,0.17113502873692726
Growth 3yr Historic,0.11296842418368547
Price/Earnings (TTM),39.67013
Price/Sales (TTM),8.28866
Price/Book (MRQ),
Price/Cash Flow (TTM),33.99518
5yr Low,500.74
5yr High,1714.75
5yr Avg Return,0.17525
EPS Growth 5yr,0.18175239999999998
Revenue Growth 5yr,0.08189679999999999
Dividend Growth 5yr,
Short Int Current Month,320709.0
Short Int Prev Month,389785.0
Short Int Pct of Float,0.014602299999999999
Days to Cover,2.34496
Float,21.96424
Shares Outstanding,22.29419
Institutions Holding Shares,1044.0
FCF Growth 5yr,0.804454780986133
"Price/Earnings (TTM, GAAP)",39.67
"PEG Ratio (TTM, GAAP)",3.25
Gross Profit Margin (TTM),0.5855
Operating Profit Margin (TTM),0.2646
Net Profit Margin (TTM),0.21480000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0499
EPS Growth (TTM),0.14550000000000002
Revenue Growth (MRQ),0.0076
Revenue Growth (TTM),0.0775
Return On Equity (TTM),21.936
Return On Assets (TTM),0.2576
Return On Investment (TTM),0.3864
Revenue Per Employee (TTM),249953.0
Total Debt/Total Capital (MRQ),1.0437
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),0.74
Interest Coverage (MRQ),20.19
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-03-29 00:00:00
theStreet since,2022-07-29 00:00:00
cfra since,2022-11-04 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
