,TKR
% Below High,0.0282
% Held by Institutions,0.8151999999999999
52-Wk Range,['50.85 - 75.80']
Annual Dividend $,1.24
Annual Dividend %,0.0165
Ask,75.57
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.6
Bid,72.34
Bid Size,500.0
Change Since Close,0.00| |(0.00%)
Closing Price,73.66
Day Change $,-1.41
Day Change %,-0.018799999999999997
Day High,75.05
Day Low,73.33
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",4.98
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.369
Last (size),63.0
Last (time),4:10p ET 11/28/22
Last Trade,73.66
Market Cap,5.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.08
Prev Close,75.07
Short Interest,0.0245
Today's Open,74.25
Volume,437754.0
Volume 10-day Avg,434733.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.2280334728033473
Growth 1yr High Est,0.20934959349593507
Growth 1yr Consensus Est,0.21869153314964118
Growth 2yr Low Est,0.15916154049025966
Growth 2yr High Est,0.1971117715378835
Growth 2yr Consensus Est,0.17813665601407158
Growth 5yr Low Est,0.08895811849594393
Growth 5yr High Est,0.11259767161647316
Growth 5yr Consensus Est,0.10077789505620854
Growth 5yr Actual/Est,0.10448689720869209
Growth 3yr Historic,0.01063096500530225
Price/Earnings (TTM),15.07584
Price/Sales (TTM),1.23493
Price/Book (MRQ),2.60836
Price/Cash Flow (TTM),9.96689
5yr Low,22.26
5yr High,92.39
5yr Avg Return,0.09924999999999999
EPS Growth 5yr,0.2195099
Revenue Growth 5yr,0.0913278
Dividend Growth 5yr,0.0273129
Short Int Current Month,1557233.0
Short Int Prev Month,1627002.0
Short Int Pct of Float,0.0245292
Days to Cover,2.25659
Float,63.51089
Shares Outstanding,72.74359
Institutions Holding Shares,442.0
FCF Growth 5yr,16.441419699286524
"Price/Earnings (TTM, GAAP)",15.08
"PEG Ratio (TTM, GAAP)",1.26
Gross Profit Margin (TTM),0.277
Operating Profit Margin (TTM),0.1282
Net Profit Margin (TTM),0.087
Annual Dividend Yield,0.0165
Dividend Change %,0.053099999999999994
"Dividend Growth Rate, 3 Years",0.0235
EPS Growth (MRQ),-0.1679
EPS Growth (TTM),0.0698
Revenue Growth (MRQ),-0.015
Revenue Growth (TTM),0.10070000000000001
Return On Equity (TTM),0.17
Return On Assets (TTM),0.0738
Return On Investment (TTM),0.09369999999999999
Revenue Per Employee (TTM),245272.0
Total Debt/Total Capital (MRQ),0.4501
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),1.09
Interest Coverage (MRQ),9.3
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-06-18 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
