,WYNN
% Below High,0.18960000000000002
% Held by Institutions,0.5799
52-Wk Range,['50.20 - 96.50']
Annual Dividend $,
Annual Dividend %,
Ask,78.6
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.9
Bid,78.3
Bid Size,200.0
Closing Price,78.2
Day Change $,3.27
Day Change %,0.0436
Day High,79.5
Day Low,75.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.54
Ex-dividend Date,No dividend
Historical Volatility,0.5910000000000001
Last (size),18.0
Last (time),3:59p ET 11/28/22
Market Cap,8.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,74.93
Short Interest,0.0717
Today's Open,78.73
Volume,7484801.0
Volume 10-day Avg,2970708.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.15442278860569714
Growth 1yr High Est,-0.7775510204081633
Growth 1yr Consensus Est,-0.4659869045069302
Growth 2yr Low Est,-0.2704738056503663
Growth 2yr High Est,-1.622720464332522
Growth 2yr Consensus Est,-0.9465971349914442
Growth 5yr Low Est,-1.879513649064991
Growth 5yr High Est,-1.9042504355701628
Growth 5yr Consensus Est,-1.8918820423175768
Growth 5yr Actual/Est,-1.8557578339082448
Growth 3yr Historic,-1.5458162600909595
Price/Earnings (TTM),
Price/Sales (TTM),2.23783
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,35.84
5yr High,203.63
5yr Avg Return,-0.07
EPS Growth 5yr,
Revenue Growth 5yr,-0.0283535
Dividend Growth 5yr,
Short Int Current Month,6895769.0
Short Int Prev Month,8938078.0
Short Int Pct of Float,0.0717417
Days to Cover,1.56651
Float,96.11214
Shares Outstanding,113.3136
Institutions Holding Shares,633.0
FCF Growth 5yr,0.08725856076753764
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.35119999999999996
Operating Profit Margin (TTM),-0.0805
Net Profit Margin (TTM),-0.2457
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1159
EPS Growth (TTM),0.2701
Revenue Growth (MRQ),-0.021
Revenue Growth (TTM),0.1135
Return On Equity (TTM),
Return On Assets (TTM),-0.0765
Return On Investment (TTM),-0.0816
Revenue Per Employee (TTM),140783.0
Total Debt/Total Capital (MRQ),1.1518000000000002
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),1.38
Interest Coverage (MRQ),-0.35
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2019-11-08 00:00:00
theStreet since,2020-05-13 00:00:00
cfra since,2021-11-10 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
