,WYNN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,103.69,Valuation,
Price/Sales (TTM),2.24,5.63,Valuation,0.3978685612788633
Price/Book (MRQ),,8.51,Valuation,
"PEG Ratio (TTM, GAAP)",,0.48,Valuation,
Gross Profit Margin (TTM),0.35119999999999996,0.4058,Profitability,0.8654509610645638
Operating Profit Margin (TTM),-0.0805,0.1648,Profitability,-0.4884708737864078
Net Profit Margin (TTM),-0.2457,0.0801,Profitability,-3.0674157303370784
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.0563,Dividend,
"Dividend Growth Rate, 3 Years",,0.0311,Dividend,
EPS Growth (MRQ),-0.1159,0.3321,Gowth rates,-0.3489912676904547
EPS Growth (TTM),0.2701,2.1422,Gowth rates,0.12608533283540288
Revenue Growth (MRQ),-0.021,0.38689999999999997,Gowth rates,-0.05427759110881365
Revenue Growth (TTM),0.1135,0.7726000000000001,Gowth rates,0.14690654931400465
Return On Equity (TTM),,0.1915,Effectiveness,
Return On Assets (TTM),-0.0765,0.0764,Effectiveness,-1.0013089005235603
Return On Investment (TTM),-0.0816,0.1012,Effectiveness,-0.8063241106719369
Revenue Per Employee (TTM),140783.0,286353.0,Effectiveness,0.4916414355707815
Total Debt/Total Capital (MRQ),1.1518000000000002,1.1601000000000001,Financial strength,0.992845444358245
Change in Debt/Total Capital Quarter over Quarter,0.001,0.002,Financial strength,0.5
Quick Ratio (MRQ),1.38,0.8,Financial strength,1.7249999999999999
Interest Coverage (MRQ),-0.35,40.35,Financial strength,-0.008674101610904584
