,CBU
% Above Low,0.1012
% Held by Institutions,0.7434999999999999
52-Wk Range,['59.21 - 78.00']
Annual Dividend $,1.76
Annual Dividend %,0.027000000000000003
Ask,65.55
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,65.2
Day Change $,0.5
Day Change %,0.0077
Day High,65.48
Day Low,64.86
Dividend Pay Date,2023-01-10 00:00:00
"EPS (TTM, GAAP)",3.29
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.23500000000000001
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,3.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.79
Prev Close,64.7
Short Interest,0.033
Today's Open,65.14
Volume,57747.0
Volume 10-day Avg,154018.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.026011560693641522
Growth 1yr High Est,0.002808988764044784
Growth 1yr Consensus Est,-0.011601285964798369
Growth 2yr Low Est,0.004798373955849922
Growth 2yr High Est,0.08123642715513157
Growth 2yr Consensus Est,0.04301740055549075
Growth 5yr Low Est,0.021633435701337772
Growth 5yr High Est,0.06021559042673463
Growth 5yr Consensus Est,0.0409245130640362
Growth 5yr Actual/Est,0.03865881982275404
Growth 3yr Historic,0.016241342968985245
Price/Earnings (TTM),19.79483
Price/Sales (TTM),5.28347
Price/Book (MRQ),2.39781
Price/Cash Flow (TTM),16.71413
5yr Low,47.01
5yr High,82.53
5yr Avg Return,0.04303333333333332
EPS Growth 5yr,0.0842798
Revenue Growth 5yr,0.063189
Dividend Growth 5yr,0.0621732
Short Int Current Month,1753822.0
Short Int Prev Month,2048828.0
Short Int Pct of Float,0.033041299999999996
Days to Cover,8.15287
Float,53.07969
Shares Outstanding,53.7344
Institutions Holding Shares,317.0
FCF Growth 5yr,0.18601717058603953
"Price/Earnings (TTM, GAAP)",19.79
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.34630000000000005
Net Profit Margin (TTM),0.2701
Annual Dividend Yield,0.027000000000000003
Dividend Change %,0.0242
"Dividend Growth Rate, 3 Years",0.06480000000000001
EPS Growth (MRQ),0.2311
EPS Growth (TTM),-0.0692
Revenue Growth (MRQ),0.09140000000000001
Revenue Growth (TTM),0.0833
Return On Equity (TTM),0.1012
Return On Assets (TTM),0.0116
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-08-05 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2009-08-14 00:00:00
