,TNL
Price/Earnings (TTM),8.66917
Price/Sales (TTM),0.87644
Price/Book (MRQ),
Price/Cash Flow (TTM),6.21414
5yr Low,13.74
5yr High,127.96
5yr Avg Return,-0.07035
EPS Growth 5yr,0.024697399999999998
Revenue Growth 5yr,-0.0322405
Dividend Growth 5yr,-0.0897179
Short Int Current Month,2835712.0
Short Int Prev Month,2425985.0
Short Int Pct of Float,0.0359731
Days to Cover,3.51462
Float,79.2115
Shares Outstanding,81.28063
Institutions Holding Shares,472.0
% Held by Institutions,0.927743
FCF Growth 5yr,-0.01315304085892118
