,SJM
% Below High,0.0048
% Held by Institutions,0.7968999999999999
52-Wk Range,['119.82 - 152.36']
Annual Dividend $,4.08
Annual Dividend %,0.027000000000000003
Ask,151.69
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.2
Bid,151.63
Bid Size,200.0
Day Change $,0.37
Day Change %,0.0024
Day High,152.36
Day Low,150.81
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",5.34
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.24300000000000002
Last (size),100.0
Last (time),2:25p ET 11/28/22
Market Cap,16.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.31
Prev Close,151.26
Price,151.63
Short Interest,0.0354
Today's Open,151.42
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.007159904534606243
Growth 1yr High Est,0.017421602787456525
Growth 1yr Consensus Est,0.005130849126425141
Growth 2yr Low Est,0.03247774004038917
Growth 2yr High Est,0.08119938586861408
Growth 2yr Consensus Est,0.056838562954501626
Growth 5yr Low Est,0.016108406876032794
Growth 5yr High Est,0.04254054718367409
Growth 5yr Consensus Est,0.02932447702985344
Growth 5yr Actual/Est,0.026335398165389268
Growth 3yr Historic,0.003695025234318694
Price/Earnings (TTM),28.31105
Price/Sales (TTM),1.97456
Price/Book (MRQ),1.96273
Price/Cash Flow (TTM),15.73066
5yr Low,91.32
5yr High,152.16
5yr Avg Return,0.05941666666666667
EPS Growth 5yr,0.0274124
Revenue Growth 5yr,0.0158981
Dividend Growth 5yr,0.0579512
Short Int Current Month,3601618.0
Short Int Prev Month,3588635.0
Short Int Pct of Float,0.0353612
Days to Cover,4.51655
Float,101.9155
Shares Outstanding,106.639
Institutions Holding Shares,1168.0
FCF Growth 5yr,-0.5153789255384592
"Price/Earnings (TTM, GAAP)",28.31
"PEG Ratio (TTM, GAAP)",5.61
Gross Profit Margin (TTM),0.3204
Operating Profit Margin (TTM),0.1133
Net Profit Margin (TTM),0.0701
Annual Dividend Yield,0.027000000000000003
Dividend Change %,0.081
"Dividend Growth Rate, 3 Years",0.0514
EPS Growth (MRQ),0.7392000000000001
EPS Growth (TTM),-0.23550000000000001
Revenue Growth (MRQ),0.1773
Revenue Growth (TTM),0.0334
Return On Equity (TTM),0.0693
Return On Assets (TTM),0.0353
Return On Investment (TTM),0.0402
Revenue Per Employee (TTM),1219254.0
Total Debt/Total Capital (MRQ),0.35979999999999995
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.43
Interest Coverage (MRQ),7.48
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-02-05 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2017-02-18 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
