,GPN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",453.77,53.12,Valuation,8.542356927710843
Price/Sales (TTM),3.08,19.35,Valuation,0.15917312661498706
Price/Book (MRQ),1.21,19.03,Valuation,0.06358381502890173
"PEG Ratio (TTM, GAAP)",31.89,3.41,Valuation,9.351906158357771
Gross Profit Margin (TTM),0.5717,0.44520000000000004,Profitability,1.2841419586702605
Operating Profit Margin (TTM),0.0621,0.3027,Profitability,0.2051536174430129
Net Profit Margin (TTM),0.0011,0.23600000000000002,Profitability,0.004661016949152543
Annual Dividend Yield,0.0098,0.010400000000000001,Dividend,0.9423076923076922
Dividend Change %,0.141,0.0818,Dividend,1.7237163814180927
"Dividend Growth Rate, 3 Years",1.8126,0.1223,Dividend,14.820932134096484
EPS Growth (MRQ),1.4359,-3.5570999999999997,Gowth rates,-0.4036715301790785
EPS Growth (TTM),-0.9294,0.15560000000000002,Gowth rates,-5.9730077120822616
Revenue Growth (MRQ),0.002,0.16460000000000002,Gowth rates,0.01215066828675577
Revenue Growth (TTM),0.0795,0.2273,Gowth rates,0.3497580290365156
Return On Equity (TTM),0.0029,0.5459,Effectiveness,0.005312328265250045
Return On Assets (TTM),0.0002,0.1131,Effectiveness,0.0017683465959328027
Return On Investment (TTM),0.0002,0.189,Effectiveness,0.0010582010582010583
Revenue Per Employee (TTM),356661.0,686063.0,Effectiveness,0.5198662513500947
Total Debt/Total Capital (MRQ),0.3778,0.5613,Financial strength,0.6730803491893819
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004,0.0048,Financial strength,0.5833333333333335
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),4.54,27.21,Financial strength,0.16685042263873576
