,GPN
% Above Low,0.08199999999999999
% Held by Institutions,0.8912
52-Wk Range,['93.99 - 153.76']
Annual Dividend $,1.0
Annual Dividend %,0.0098
Ask,127.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,94.0
Bid Size,100.0
Closing Price,101.7
Day Change $,1.53
Day Change %,0.015300000000000001
Day High,102.42
Day Low,100.23
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",0.22
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.41100000000000003
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,27.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",453.77
Prev Close,100.17
Short Interest,0.0167
Today's Open,100.29
Volume,967836.0
Volume 10-day Avg,2311189.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,0.2293333333333334
Growth 1yr High Est,0.18203883495145634
Growth 1yr Consensus Est,0.20568608414239486
Growth 2yr Low Est,0.14666232827187276
Growth 2yr High Est,0.15621448934431126
Growth 2yr Consensus Est,0.151438408808092
Growth 5yr Low Est,0.12753086584952966
Growth 5yr High Est,0.15714892538218822
Growth 5yr Consensus Est,0.14233989561585894
Growth 5yr Actual/Est,0.14130512735640877
Growth 3yr Historic,0.07598472668810291
Price/Earnings (TTM),453.7747
Price/Sales (TTM),3.08414
Price/Book (MRQ),1.21313
Price/Cash Flow (TTM),16.20753
5yr Low,93.99
5yr High,220.81
5yr Avg Return,0.05628333333333333
Short Int Current Month,4465795.0
Short Int Prev Month,6353553.0
Short Int Pct of Float,0.0166988
Days to Cover,1.30045
Float,267.4692
Shares Outstanding,270.4012
Institutions Holding Shares,1180.0
FCF Growth 5yr,0.09253143704451527
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",453.77
"PEG Ratio (TTM, GAAP)",31.89
Gross Profit Margin (TTM),0.5717
Operating Profit Margin (TTM),0.0621
Net Profit Margin (TTM),0.0011
Annual Dividend Yield,0.0098
Dividend Change %,0.141
"Dividend Growth Rate, 3 Years",1.8126
EPS Growth (MRQ),1.4359
EPS Growth (TTM),-0.9294
Revenue Growth (MRQ),0.002
Revenue Growth (TTM),0.0795
Return On Equity (TTM),0.0029
Return On Assets (TTM),0.0002
Return On Investment (TTM),0.0002
Revenue Per Employee (TTM),356661.0
Total Debt/Total Capital (MRQ),0.3778
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.54
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-11-22 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-03-18 00:00:00
ford since,2021-09-24 00:00:00
marketEdge opinion since,
