,AIZ
% Above Low,0.0797
% Held by Institutions,0.9692000000000001
52-Wk Range,['119.01 - 194.12']
Annual Dividend $,2.8
Annual Dividend %,0.0218
Ask,128.89
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.5
Bid,
Bid Size,
Closing Price,128.49
Day Change $,2.15
Day Change %,0.017
Day High,128.68
Day Low,127.25
Dividend Pay Date,2022-12-19 00:00:00
"EPS (TTM, GAAP)",5.96
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.29600000000000004
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,6.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",21.55
Prev Close,126.34
Short Interest,0.0196
Today's Open,127.62
Volume,225408.0
Volume 10-day Avg,578361.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.15553121577217954
Growth 1yr High Est,0.1511254019292605
Growth 1yr Consensus Est,0.15332830885072002
Growth 2yr Low Est,0.12041963632210861
Growth 2yr High Est,0.20172657433520746
Growth 2yr Consensus Est,0.16107310532865804
Growth 5yr Low Est,0.07902160415963438
Growth 5yr High Est,0.1171728109771275
Growth 5yr Consensus Est,0.09809720756838095
Growth 5yr Actual/Est,0.10698905237969863
Growth 3yr Historic,0.023486342352598333
Price/Earnings (TTM),21.54611
Price/Sales (TTM),0.67122
Price/Book (MRQ),1.65802
Price/Cash Flow (TTM),13.64759
5yr Low,76.27
5yr High,194.12
5yr Avg Return,0.06576666666666665
EPS Growth 5yr,0.0209612
Revenue Growth 5yr,0.0620802
Dividend Growth 5yr,0.0555459
Short Int Current Month,1025255.0
Short Int Prev Month,1123682.0
Short Int Pct of Float,0.0196068
Days to Cover,1.3851
Float,52.33258
Shares Outstanding,52.83143
Institutions Holding Shares,666.0
FCF Growth 5yr,-1.197811494668556
"Price/Earnings (TTM, GAAP)",21.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0517
Net Profit Margin (TTM),0.033100000000000004
Annual Dividend Yield,0.021800000000000003
Dividend Change %,0.0431
"Dividend Growth Rate, 3 Years",0.0527
EPS Growth (MRQ),-0.8577
EPS Growth (TTM),-0.3809
Revenue Growth (MRQ),0.0158
Revenue Growth (TTM),0.0076
Return On Equity (TTM),0.0681
Return On Assets (TTM),0.01
Return On Investment (TTM),
Revenue Per Employee (TTM),648295.0
Total Debt/Total Capital (MRQ),0.3419
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.32
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-05 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2022-08-05 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-03 00:00:00
