,AIZ
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.15553121577217954
Growth 1yr High Est,0.1511254019292605
Growth 1yr Consensus Est,0.15332830885072002
Growth 2yr Low Est,0.12041963632210861
Growth 2yr High Est,0.20172657433520746
Growth 2yr Consensus Est,0.16107310532865804
Growth 5yr Low Est,0.07902160415963438
Growth 5yr High Est,0.1171728109771275
Growth 5yr Consensus Est,0.09809720756838095
Growth 5yr Actual/Est,0.10698905237969863
Growth 3yr Historic,0.023486342352598333
