,AIZ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.55,19.05,Valuation,1.1312335958005248
Price/Sales (TTM),0.67,2.31,Valuation,0.29004329004329005
Price/Book (MRQ),1.66,3.65,Valuation,0.45479452054794517
"PEG Ratio (TTM, GAAP)",,6.78,Valuation,
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),0.0517,0.1298,Profitability,0.39830508474576276
Net Profit Margin (TTM),0.033100000000000004,0.10460000000000001,Profitability,0.31644359464627153
Annual Dividend Yield,0.021800000000000003,0.0167,Dividend,1.3053892215568865
Dividend Change %,0.0431,-0.004,Dividend,-10.775
"Dividend Growth Rate, 3 Years",0.0527,0.0233,Dividend,2.261802575107296
EPS Growth (MRQ),-0.8577,-0.0779,Gowth rates,11.010269576379976
EPS Growth (TTM),-0.3809,-0.005200000000000001,Gowth rates,73.25
Revenue Growth (MRQ),0.0158,0.0897,Gowth rates,0.17614269788182832
Revenue Growth (TTM),0.0076,0.042800000000000005,Gowth rates,0.17757009345794392
Return On Equity (TTM),0.0681,0.35479999999999995,Effectiveness,0.1919391206313416
Return On Assets (TTM),0.01,0.031200000000000002,Effectiveness,0.3205128205128205
Return On Investment (TTM),,0.032,Effectiveness,
Revenue Per Employee (TTM),648295.0,1270541.0,Effectiveness,0.5102511449846955
Total Debt/Total Capital (MRQ),0.3419,0.4026,Financial strength,0.8492300049677098
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.002,Financial strength,-0.1
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),1.32,10.79,Financial strength,0.12233549582947174
