,GRWG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,19.03,Valuation,
Price/Sales (TTM),1.13,1.93,Valuation,0.5854922279792746
Price/Book (MRQ),1.54,92.12,Valuation,0.016717325227963525
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.2666,0.34390000000000004,Profitability,0.7752253562082
Operating Profit Margin (TTM),-0.5063000000000001,0.11789999999999999,Profitability,-4.294317217981341
Net Profit Margin (TTM),-0.4864,0.0818,Profitability,-5.946210268948655
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),0.9473,-0.10800000000000001,Gowth rates,-8.771296296296295
EPS Growth (TTM),-9.1347,0.0262,Gowth rates,-348.6526717557252
Revenue Growth (MRQ),-0.0034000000000000002,0.0478,Gowth rates,-0.07112970711297072
Revenue Growth (TTM),-0.20199999999999999,0.0874,Gowth rates,-2.311212814645309
Return On Equity (TTM),-0.5065999999999999,5.2054,Effectiveness,-0.09732201175702154
Return On Assets (TTM),-0.38880000000000003,0.1562,Effectiveness,-2.4891165172855314
Return On Investment (TTM),-0.4521,0.26,Effectiveness,-1.7388461538461537
Revenue Per Employee (TTM),495724.0,410011.0,Effectiveness,1.2090504888893225
Total Debt/Total Capital (MRQ),0.0004,0.8926999999999999,Financial strength,0.00044807886187969086
Change in Debt/Total Capital Quarter over Quarter,-0.0032,0.0016,Financial strength,-2.0
Quick Ratio (MRQ),2.51,0.39,Financial strength,6.435897435897435
Interest Coverage (MRQ),,13.36,Financial strength,
