,GRWG
% Above Low,1.0
% Held by Institutions,0.4482
52-Wk Range,['2.92 - 18.40']
Annual Dividend $,
Annual Dividend %,
Ask,5.98
Ask Size,500.0
B/A Ratio,14.0
B/A Size,7000x500
Beta,3.0
Bid,5.97
Bid Size,7000.0
Closing Price,5.84
Day Change $,-0.33
Day Change %,-0.0535
Day High,6.19
Day Low,5.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.52
Ex-dividend Date,No dividend
Historical Volatility,1.003
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,355.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.17
Short Interest,0.1268
Today's Open,6.17
Volume,837201.0
Volume 10-day Avg,3373852.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.7624521072796935
Growth 2yr High Est,-0.62
Growth 2yr Consensus Est,-0.6912260536398467
Growth 5yr Low Est,-0.7624521072796935
Growth 5yr High Est,-0.62
Growth 5yr Consensus Est,-0.6912260536398467
Growth 5yr Actual/Est,-2.7111290712149088
Growth 3yr Historic,0.5272727272727271
Price/Earnings (TTM),
Price/Sales (TTM),1.13216
Price/Book (MRQ),1.54121
Price/Cash Flow (TTM),
5yr Low,2.05
5yr High,67.75
5yr Avg Return,1.4286666666666668
EPS Growth 5yr,
Revenue Growth 5yr,1.211859
Dividend Growth 5yr,
Short Int Current Month,7292143.0
Short Int Prev Month,7112367.0
Short Int Pct of Float,0.12683070000000002
Days to Cover,1.37271
Float,57.49507
Shares Outstanding,60.92909
Institutions Holding Shares,223.0
FCF Growth 5yr,-0.3920584327520822
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2666
Operating Profit Margin (TTM),-0.5063000000000001
Net Profit Margin (TTM),-0.4864
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9473
EPS Growth (TTM),-9.1347
Revenue Growth (MRQ),-0.0034000000000000002
Revenue Growth (TTM),-0.20199999999999999
Return On Equity (TTM),-0.5065999999999999
Return On Assets (TTM),-0.38880000000000003
Return On Investment (TTM),-0.4521
Revenue Per Employee (TTM),495724.0
Total Debt/Total Capital (MRQ),0.0004
Change in Debt/Total Capital Quarter over Quarter,-0.0032
Quick Ratio (MRQ),2.51
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-06-09 00:00:00
researchTeam since,2022-05-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
