,COTY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",91.09,62.45,Valuation,1.4586068855084067
Price/Sales (TTM),1.21,4.04,Valuation,0.2995049504950495
Price/Book (MRQ),2.11,11.21,Valuation,0.18822479928635144
"PEG Ratio (TTM, GAAP)",4.18,2.11,Valuation,1.981042654028436
Gross Profit Margin (TTM),0.6393,0.701,Profitability,0.9119828815977176
Operating Profit Margin (TTM),0.0743,0.13949999999999999,Profitability,0.5326164874551972
Net Profit Margin (TTM),0.0315,0.0981,Profitability,0.3211009174311926
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,0.0034999999999999996,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),1.4163999999999999,-0.23070000000000002,Gowth rates,-6.139575205895101
EPS Growth (TTM),1.3930000000000002,-0.2964,Gowth rates,-4.699730094466937
Revenue Growth (MRQ),0.1898,-0.0493,Gowth rates,-3.849898580121704
Revenue Growth (TTM),0.0913,0.046200000000000005,Gowth rates,1.976190476190476
Return On Equity (TTM),0.024700000000000003,0.289,Effectiveness,0.08546712802768168
Return On Assets (TTM),0.0129,0.0375,Effectiveness,0.34400000000000003
Return On Investment (TTM),0.017,0.1008,Effectiveness,0.16865079365079366
Revenue Per Employee (TTM),483355.0,706730.0,Effectiveness,0.6839316287691197
Total Debt/Total Capital (MRQ),0.5754,0.49520000000000003,Financial strength,1.1619547657512117
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002,0.0046,Financial strength,-0.3043478260869566
Quick Ratio (MRQ),0.44,1.34,Financial strength,0.3283582089552239
Interest Coverage (MRQ),2.56,14.94,Financial strength,0.17135207496653282
