,COTY
% Above Low,0.2847
% Held by Institutions,0.3448
52-Wk Range,['5.90 - 10.82']
Annual Dividend $,
Annual Dividend %,
Ask,8.1
Ask Size,10000.0
B/A Ratio,0.05
B/A Size,500x10000
Beta,1.9
Bid,7.09
Bid Size,500.0
Closing Price,7.58
Day Change $,-0.01
Day Change %,-0.0013
Day High,7.64
Day Low,7.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.08
Ex-dividend Date,No dividend
Historical Volatility,0.53
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,6.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",91.09
Prev Close,7.59
Short Interest,0.04650000000000001
Today's Open,7.53
Volume,1261009.0
Volume 10-day Avg,6026423.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.03846153846153855
Growth 1yr High Est,-0.02941176470588236
Growth 1yr Consensus Est,0.004524886877828094
Growth 2yr Low Est,0.1673789173789173
Growth 2yr High Est,0.18226381461675584
Growth 2yr Consensus Est,0.17482136599783657
Growth 5yr Low Est,0.1673789173789173
Growth 5yr High Est,0.18226381461675584
Growth 5yr Consensus Est,0.17482136599783657
Growth 5yr Actual/Est,6.596026785714287
Growth 3yr Historic,6.490000000000001
Price/Earnings (TTM),91.09482
Price/Sales (TTM),1.21064
Price/Book (MRQ),2.10947
Price/Cash Flow (TTM),11.22231
5yr Low,2.65
5yr High,21.68
5yr Avg Return,0.011016666666666673
EPS Growth 5yr,
Revenue Growth 5yr,-0.0706238
Dividend Growth 5yr,
Short Int Current Month,16348262.0
Short Int Prev Month,22601991.0
Short Int Pct of Float,0.0465134
Days to Cover,1.99328
Float,351.5861
Shares Outstanding,850.1125
Institutions Holding Shares,394.0
FCF Growth 5yr,-0.3309295421333724
"Price/Earnings (TTM, GAAP)",91.09
"PEG Ratio (TTM, GAAP)",4.18
Gross Profit Margin (TTM),0.6393
Operating Profit Margin (TTM),0.0743
Net Profit Margin (TTM),0.0315
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.4163999999999999
EPS Growth (TTM),1.3930000000000002
Revenue Growth (MRQ),0.1898
Revenue Growth (TTM),0.0913
Return On Equity (TTM),0.024700000000000003
Return On Assets (TTM),0.0129
Return On Investment (TTM),0.017
Revenue Per Employee (TTM),483355.0
Total Debt/Total Capital (MRQ),0.5754
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),0.44
Interest Coverage (MRQ),2.56
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-05-09 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-05-18 00:00:00
