,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,11.48,25.96,27.59,63.99,67.48,24.18,,,,,
low,7.84,9.64,10.76,9.01,20.92,7.57,,,,,
change,0.1106,0.3722,0.561,1.3854,-0.6079,-0.182,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,232694.0,130552.0,187548.0,196669.0,Balance Sheet
Short Term Investments,,,,,,,156046.0,216041.0,133820.0,109865.0,Balance Sheet
Cash and Short Term Invs,,,,,,,388740.0,346593.0,321368.0,306534.0,Balance Sheet
Prepaid Expenses,,,,,,,3319.0,7255.0,4403.0,4597.0,Balance Sheet
Total Current Assets,,,,,,,392059.0,353848.0,325771.0,311131.0,Balance Sheet
Buildings,,,,,,,407.0,433.0,458.0,568.0,Balance Sheet
Machinery/Equipment,,,,,,,25152.0,27943.0,29221.0,30922.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,52012.0,51299.0,50740.0,50022.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,77571.0,79675.0,80419.0,81512.0,Balance Sheet
Accumulated Depreciation,,,,,,,-5223.0,-5987.0,-6951.0,-8002.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,72348.0,73689.0,73468.0,73510.0,Balance Sheet
"Goodwill, Net",,,,,,,30815.0,30815.0,30815.0,30815.0,Balance Sheet
Other Long Term Assets,,,,,,,455.0,455.0,455.0,455.0,Balance Sheet
Total Assets,,,,,,,497020.0,460150.0,431852.0,417265.0,Balance Sheet
Accrued Expenses,,,,,,,19996.0,19904.0,21932.0,26577.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,1689.0,1701.0,1712.0,1724.0,Balance Sheet
