,RCKT
% Below High,0.2994
% Held by Institutions,0.8908
52-Wk Range,['7.57 - 25.62']
Annual Dividend $,
Annual Dividend %,
Ask,17.96
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,17.94
Bid Size,100.0
Day Change $,-0.65
Day Change %,-0.0349
Day High,18.62
Day Low,17.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.06
Ex-dividend Date,No dividend
Historical Volatility,0.873
Last (size),117.0
Last (time),12:22p ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,18.6
Price,17.95
Short Interest,0.10800000000000001
Today's Open,18.28
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.09677419354838701
Growth 1yr High Est,0.06837606837606836
Growth 1yr Consensus Est,0.08257513096222768
Growth 2yr Low Est,0.18809297912713463
Growth 2yr High Est,-0.17781196581196584
Growth 2yr Consensus Est,0.005140506657584393
Growth 5yr Low Est,0.18809297912713463
Growth 5yr High Est,-0.17781196581196584
Growth 5yr Consensus Est,0.005140506657584393
Growth 5yr Actual/Est,0.19145269465280845
Growth 3yr Historic,0.16361512959614222
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),3.43522
Price/Cash Flow (TTM),
5yr Low,7.57
5yr High,67.48
5yr Avg Return,0.27321666666666666
Short Int Current Month,7807541.0
Short Int Prev Month,9403190.0
Short Int Pct of Float,0.10800710000000001
Days to Cover,9.41858
Float,72.28728
Shares Outstanding,75.68442
Institutions Holding Shares,234.0
FCF Growth 5yr,0.29055606352966107
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.049800000000000004
EPS Growth (TTM),0.0038
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.4675
Return On Assets (TTM),-0.42090000000000005
Return On Investment (TTM),-0.4466
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.054000000000000006
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
cfra since,
marketEdge opinion since,
marketEdge since,
newConstructs since,
ford since,
theStreet since,
