,FTNT
Price/Earnings (TTM),58.0835
Price/Sales (TTM),10.08668
Price/Book (MRQ),
Price/Cash Flow (TTM),47.4245
5yr Low,8.1
5yr High,74.35
5yr Avg Return,0.4530666666666667
EPS Growth 5yr,0.8186003
Revenue Growth 5yr,0.2124791
Dividend Growth 5yr,
Short Int Current Month,10362280.0
Short Int Prev Month,8690621.0
Short Int Pct of Float,0.0163606
Days to Cover,1.37724
Float,633.4262
Shares Outstanding,781.236
Institutions Holding Shares,1309.0
% Held by Institutions,0.663137
FCF Growth 5yr,0.3259962507906226
