,FTNT
% Above Low,0.24170000000000003
% Held by Institutions,0.6631
52-Wk Range,['42.61 - 74.35']
Annual Dividend $,
Annual Dividend %,
Ask,52.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,52.82
Bid Size,100.0
Closing Price,52.91
Day Change $,-0.44
Day Change %,-0.008199999999999999
Day High,53.48
Day Low,52.87
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.91
Ex-dividend Date,No dividend
Historical Volatility,0.5760000000000001
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,41.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",58.08
Prev Close,53.35
Short Interest,0.016399999999999998
Today's Open,53.08
Volume,2117775.0
Volume 10-day Avg,4884696.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,-0.7131782945736433
Growth 1yr High Est,-0.6975
Growth 1yr Consensus Est,-0.7053391472868217
Growth 2yr Low Est,-0.2935260842237587
Growth 2yr High Est,-0.18759297520661156
Growth 2yr Consensus Est,-0.24055952971518513
Growth 5yr Low Est,0.011480574175215197
Growth 5yr High Est,0.049361180844578245
Growth 5yr Consensus Est,0.03042087750989672
Growth 5yr Actual/Est,0.3040670234674012
Growth 3yr Historic,0.14034419738044474
Price/Earnings (TTM),58.0835
Price/Sales (TTM),10.08668
Price/Book (MRQ),
Price/Cash Flow (TTM),47.4245
5yr Low,8.1
5yr High,74.35
5yr Avg Return,0.4530666666666667
EPS Growth 5yr,0.8186003
Revenue Growth 5yr,0.2124791
Dividend Growth 5yr,
Short Int Current Month,10362280.0
Short Int Prev Month,8690621.0
Short Int Pct of Float,0.0163606
Days to Cover,1.37724
Float,633.4262
Shares Outstanding,781.236
Institutions Holding Shares,1309.0
FCF Growth 5yr,0.3259962507906226
"Price/Earnings (TTM, GAAP)",58.08
"PEG Ratio (TTM, GAAP)",2.48
Gross Profit Margin (TTM),0.7521
Operating Profit Margin (TTM),0.20170000000000002
Net Profit Margin (TTM),0.1877
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.35409999999999997
EPS Growth (TTM),0.3688
Revenue Growth (MRQ),0.1159
Revenue Growth (TTM),0.31070000000000003
Return On Equity (TTM),3.072
Return On Assets (TTM),0.1361
Return On Investment (TTM),0.24420000000000003
Revenue Per Employee (TTM),401962.0
Total Debt/Total Capital (MRQ),2.6965
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),1.0
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-05-11 00:00:00
researchTeam since,2022-05-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-05-05 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
