,FTNT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",58.08,54.08,Valuation,1.0739644970414202
Price/Sales (TTM),10.09,9.39,Valuation,1.0745473908413206
Price/Book (MRQ),,12.63,Valuation,
"PEG Ratio (TTM, GAAP)",2.48,1.92,Valuation,1.2916666666666667
Gross Profit Margin (TTM),0.7521,0.7206,Profitability,1.043713572023314
Operating Profit Margin (TTM),0.20170000000000002,0.2172,Profitability,0.9286372007366483
Net Profit Margin (TTM),0.1877,0.1553,Profitability,1.2086284610431424
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.35409999999999997,-0.0752,Gowth rates,-4.7087765957446805
EPS Growth (TTM),0.3688,-0.2824,Gowth rates,-1.3059490084985836
Revenue Growth (MRQ),0.1159,0.15560000000000002,Gowth rates,0.7448586118251928
Revenue Growth (TTM),0.31070000000000003,0.1906,Gowth rates,1.6301154249737673
Return On Equity (TTM),3.072,0.2189,Effectiveness,14.03380539058931
Return On Assets (TTM),0.1361,0.10740000000000001,Effectiveness,1.2672253258845436
Return On Investment (TTM),0.24420000000000003,0.1387,Effectiveness,1.7606344628695028
Revenue Per Employee (TTM),401962.0,667721.0,Effectiveness,0.6019909513105024
Total Debt/Total Capital (MRQ),2.6965,0.39659999999999995,Financial strength,6.79904185577408
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0004,Financial strength,2.5
Quick Ratio (MRQ),1.0,1.0,Financial strength,1.0
Interest Coverage (MRQ),,0.28,Financial strength,
