,TBPH
% Below High,0.20350000000000001
% Held by Institutions,0.9464
52-Wk Range,['7.53 - 13.17']
Annual Dividend $,
Annual Dividend %,
Ask,11.77
Ask Size,100.0
Ask close,12.92
B/A Ratio,2.0
B/A Size,200x100
Beta,0.5
Bid,10.0
Bid Size,200.0
Bid close,8.2
Change Since Close,0.00| |(0.00%)
Closing Price,10.49
Day Change $,-0.11
Day Change %,-0.0104
Day High,10.67
Day Low,10.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.1
Ex-dividend Date,No dividend
Historical Volatility,0.551
Last (size),78900.0
Last (time),4:00p ET 11/28/22
Last Trade,10.49
Market Cap,706.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.6
Short Interest,0.12890000000000001
Today's Open,10.53
Volume,730803.0
Volume 10-day Avg,1035642.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.8129032258064517
Growth 1yr High Est,-3.593896713615024
Growth 1yr Consensus Est,-2.2033999697107376
Growth 2yr Low Est,-0.228290693362996
Growth 2yr High Est,-2.210070528753213
Growth 2yr Consensus Est,-1.2191806110581047
Growth 5yr Low Est,-0.10865084118699248
Growth 5yr High Est,-1.049000781617986
Growth 5yr Consensus Est,-0.5788258114024891
Growth 5yr Actual/Est,-0.7819433055222891
Growth 3yr Historic,-0.076772619361646
Price/Earnings (TTM),
Price/Sales (TTM),13.82721
Price/Book (MRQ),1.48588
Price/Cash Flow (TTM),
5yr Low,6.1
5yr High,35.48
5yr Avg Return,-0.1433
EPS Growth 5yr,
Revenue Growth 5yr,0.0260046
Dividend Growth 5yr,
Short Int Current Month,7719911.0
Short Int Prev Month,7454922.0
Short Int Pct of Float,0.12893480000000002
Days to Cover,6.50838
Float,59.93755
Shares Outstanding,67.36591
Institutions Holding Shares,174.0
FCF Growth 5yr,0.07891039719730042
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-2.6874000000000002
Net Profit Margin (TTM),-1.5916
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9758
EPS Growth (TTM),0.6801
Revenue Growth (MRQ),0.1268
Revenue Growth (TTM),-0.1261
Return On Equity (TTM),-1.0472
Return On Assets (TTM),-0.1409
Return On Investment (TTM),-0.17149999999999999
Revenue Per Employee (TTM),326854.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2016-11-18 00:00:00
theStreet since,2016-11-18 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
