,TBPH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.82,Valuation,
Price/Sales (TTM),13.83,18.12,Valuation,0.7632450331125827
Price/Book (MRQ),1.49,11.52,Valuation,0.1293402777777778
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),,0.6774,Profitability,
Operating Profit Margin (TTM),-2.6874000000000002,-0.8243,Profitability,3.2602207934004612
Net Profit Margin (TTM),-1.5916,-0.8643000000000001,Profitability,1.841490223302094
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.08410000000000001,Dividend,
EPS Growth (MRQ),-0.9758,0.0882,Gowth rates,-11.063492063492063
EPS Growth (TTM),0.6801,0.5872999999999999,Gowth rates,1.1580112378682106
Revenue Growth (MRQ),0.1268,0.0441,Gowth rates,2.875283446712018
Revenue Growth (TTM),-0.1261,0.17600000000000002,Gowth rates,-0.7164772727272726
Return On Equity (TTM),-1.0472,0.3019,Effectiveness,-3.468698244451805
Return On Assets (TTM),-0.1409,0.09210000000000002,Effectiveness,-1.52985884907709
Return On Investment (TTM),-0.17149999999999999,0.1384,Effectiveness,-1.2391618497109826
Revenue Per Employee (TTM),326854.0,1426391.0,Effectiveness,0.22914754790236339
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0,Financial strength,-inf
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.1,Financial strength,
