,EBS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.51,471.78,Valuation,0.03075586078256815
Price/Sales (TTM),0.39,45.03,Valuation,0.008660892738174551
Price/Book (MRQ),0.41,12.61,Valuation,0.03251387787470262
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.5459,0.5874,Profitability,0.9293496765406878
Operating Profit Margin (TTM),0.11220000000000001,-4.7459,Profitability,-0.023641458943509136
Net Profit Margin (TTM),0.0354,-4.5467,Profitability,-0.007785866672531725
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.34490000000000004,-0.0014000000000000002,Gowth rates,246.35714285714286
EPS Growth (TTM),-0.8029999999999999,0.027200000000000002,Gowth rates,-29.522058823529406
Revenue Growth (MRQ),-0.0111,1.3963999999999999,Gowth rates,-0.007949011744485823
Revenue Growth (TTM),-0.0842,0.9747,Gowth rates,-0.08638555452959884
Return On Equity (TTM),0.036000000000000004,0.1967,Effectiveness,0.18301982714794104
Return On Assets (TTM),0.018500000000000003,0.0016,Effectiveness,11.562500000000002
Return On Investment (TTM),0.020800000000000003,0.0219,Effectiveness,0.9497716894977171
Revenue Per Employee (TTM),626407.0,1476201.0,Effectiveness,0.4243372006928596
Total Debt/Total Capital (MRQ),0.42090000000000005,0.4675,Financial strength,0.9003208556149733
Change in Debt/Total Capital Quarter over Quarter,0.0022,0.0036,Financial strength,0.6111111111111112
Quick Ratio (MRQ),2.13,2.06,Financial strength,1.0339805825242718
Interest Coverage (MRQ),-4.94,2.69,Financial strength,-1.8364312267657994
