,EBS
% Above Low,0.0279
% Held by Institutions,0.8177
52-Wk Range,['11.58 - 52.28']
Annual Dividend $,
Annual Dividend %,
Ask,23.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.9
Bid,10.8
Bid Size,300.0
Closing Price,11.9
Day Change $,0.07
Day Change %,0.0059
Day High,12.17
Day Low,11.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.82
Ex-dividend Date,No dividend
Historical Volatility,0.7590000000000001
Last (size),7.0
Last (time),5:00p ET 11/25/22
Market Cap,593.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.51
Prev Close,11.83
Short Interest,0.0574
Today's Open,11.68
Volume,373282.0
Volume 10-day Avg,1043344.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-1.4221748400852878
Growth 1yr High Est,-1.2365079365079366
Growth 1yr Consensus Est,-1.329341388296612
Growth 2yr Low Est,-1.2994712584264823
Growth 2yr High Est,-1.4806700756365188
Growth 2yr Consensus Est,-1.3900706670315004
Growth 5yr Low Est,-0.49819453332283015
Growth 5yr High Est,-0.4670792238647709
Growth 5yr Consensus Est,-0.4826368785938005
Growth 5yr Actual/Est,-0.3144244282695375
Growth 3yr Historic,0.3679657927329181
Price/Earnings (TTM),14.50671
Price/Sales (TTM),0.39228
Price/Book (MRQ),0.40972
Price/Cash Flow (TTM),3.084
5yr Low,11.58
5yr High,137.61
5yr Avg Return,-0.04759999999999998
EPS Growth 5yr,0.2748742
Revenue Growth 5yr,0.29681640000000004
Dividend Growth 5yr,
Short Int Current Month,2570426.0
Short Int Prev Month,2155558.0
Short Int Pct of Float,0.0574251
Days to Cover,2.19513
Float,44.81273
Shares Outstanding,49.88822
Institutions Holding Shares,293.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",14.51
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5459
Operating Profit Margin (TTM),0.11220000000000001
Net Profit Margin (TTM),0.0354
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.34490000000000004
EPS Growth (TTM),-0.8029999999999999
Revenue Growth (MRQ),-0.0111
Revenue Growth (TTM),-0.0842
Return On Equity (TTM),0.036000000000000004
Return On Assets (TTM),0.018500000000000003
Return On Investment (TTM),0.020800000000000003
Revenue Per Employee (TTM),626407.0
Total Debt/Total Capital (MRQ),0.42090000000000005
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),2.13
Interest Coverage (MRQ),-4.94
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-10-29 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-07-30 00:00:00
