,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,47.9,73.89,67.45,137.61,127.2,52.28,,,,,
low,40.88,42.67,39.11,46.37,29.88,11.58,,,,,
change,0.1211,0.2626,-0.0757,0.6509999999999999,-0.5164,-0.7282,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,576.0,436.0,358.0,241.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,256.0,140.0,150.0,158.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-3.0,-1.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,,,,,275.0,182.0,175.0,191.0,Balance Sheet
Invent. - Finished Goods,,,,,,,38.0,51.0,53.0,131.0,Balance Sheet
Invent. - Work In Progress,,,,,,,96.0,106.0,108.0,138.0,Balance Sheet
Invent. - Raw Materials,,,,,,,218.0,244.0,264.0,277.0,Balance Sheet
Total Inventory,,,,,,,351.0,401.0,426.0,546.0,Balance Sheet
Prepaid Expenses,,,,,,,70.0,82.0,125.0,140.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Assets,,,,,,,1272.0,1100.0,1084.0,1119.0,Balance Sheet
Buildings,,,,,,,270.0,287.0,293.0,322.0,Balance Sheet
Land/Improvements,,,,,,,52.0,52.0,51.0,54.0,Balance Sheet
Machinery/Equipment,,,,,,,61.0,63.0,66.0,65.0,Balance Sheet
Construction in Progress,,,,,,,223.0,208.0,218.0,181.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,542.0,555.0,553.0,572.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,1148.0,1164.0,1182.0,1193.0,Balance Sheet
Accumulated Depreciation,,,,,,,-319.0,-330.0,-358.0,-366.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,828.0,834.0,824.0,827.0,Balance Sheet
"Goodwill, Net",,,,,,,225.0,225.0,225.0,225.0,Balance Sheet
Intangibles - Gross,,,,,,,832.0,832.0,804.0,964.0,Balance Sheet
