,TTI
% Above Low,0.5345000000000001
% Held by Institutions,0.6144
52-Wk Range,['2.32 - 5.82']
Annual Dividend $,
Annual Dividend %,
Ask,3.84
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,2.6
Bid,3.33
Bid Size,100.0
Closing Price,3.56
Day Change $,-0.12
Day Change %,-0.0326
Day High,3.65
Day Low,3.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.07
Ex-dividend Date,No dividend
Historical Volatility,0.7090000000000001
Last (size),500.0
Last (time),7:00p ET 11/28/22
Market Cap,457.9M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",54.15
Prev Close,3.68
Short Interest,0.0152
Today's Open,3.57
Volume,514230.0
Volume 10-day Avg,1108192.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-4.75
Growth 1yr High Est,-5.5
Growth 1yr Consensus Est,-5.125
Growth 2yr Low Est,-1.9416666666666664
Growth 2yr High Est,-2.3055555555555554
Growth 2yr Consensus Est,-2.123611111111111
Growth 5yr Low Est,-1.9416666666666664
Growth 5yr High Est,-2.3055555555555554
Growth 5yr Consensus Est,-2.123611111111111
Growth 5yr Actual/Est,-0.3461805555555555
Growth 3yr Historic,0.46944444444444433
Price/Earnings (TTM),54.1495
Price/Sales (TTM),0.91214
Price/Book (MRQ),4.59673
Price/Cash Flow (TTM),11.60214
5yr Low,0.22
5yr High,5.82
5yr Avg Return,0.2650833333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.0885871
Dividend Growth 5yr,
Short Int Current Month,1755247.0
Short Int Prev Month,2774223.0
Short Int Pct of Float,0.0151945
Days to Cover,1.06056
Float,115.7778
Shares Outstanding,128.6198
Institutions Holding Shares,179.0
FCF Growth 5yr,-1.9260883888911462
"Price/Earnings (TTM, GAAP)",54.15
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.20800000000000002
Operating Profit Margin (TTM),0.0359
Net Profit Margin (TTM),0.0168
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.0234
EPS Growth (TTM),1.9994
Revenue Growth (MRQ),-0.0405
Revenue Growth (TTM),0.4802
Return On Equity (TTM),0.08630000000000002
Return On Assets (TTM),0.0212
Return On Investment (TTM),0.027999999999999997
Revenue Per Employee (TTM),471739.0
Total Debt/Total Capital (MRQ),0.6020000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),1.37
Interest Coverage (MRQ),1.18
theStreet,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
theStreet since,2021-11-05 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
researchTeam since,
