,TTI
Price/Earnings (TTM),54.1495
Price/Sales (TTM),0.91214
Price/Book (MRQ),4.59673
Price/Cash Flow (TTM),11.60214
5yr Low,0.22
5yr High,5.82
5yr Avg Return,0.2650833333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.0885871
Dividend Growth 5yr,
Short Int Current Month,1755247.0
Short Int Prev Month,2774223.0
Short Int Pct of Float,0.0151945
Days to Cover,1.06056
Float,115.7778
Shares Outstanding,128.6198
Institutions Holding Shares,179.0
% Held by Institutions,0.614383
FCF Growth 5yr,-1.9260883888911462
