,GVA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",52.33,41.93,Valuation,1.2480324350107321
Price/Sales (TTM),0.59,1.42,Valuation,0.4154929577464789
Price/Book (MRQ),1.63,3.73,Valuation,0.4369973190348525
"PEG Ratio (TTM, GAAP)",,0.71,Valuation,
Gross Profit Margin (TTM),0.0962,0.0432,Profitability,2.2268518518518516
Operating Profit Margin (TTM),0.0089,0.0655,Profitability,0.13587786259541984
Net Profit Margin (TTM),0.0073,0.041299999999999996,Profitability,0.17675544794188863
Annual Dividend Yield,0.0146,0.0045000000000000005,Dividend,3.244444444444444
Dividend Change %,0.0,0.127,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0315,Dividend,0.0
EPS Growth (MRQ),32.3613,0.0989,Gowth rates,327.2123356926188
EPS Growth (TTM),15.0083,0.5874,Gowth rates,25.550391556009533
Revenue Growth (MRQ),0.3144,0.233,Gowth rates,1.3493562231759657
Revenue Growth (TTM),-0.2257,0.2229,Gowth rates,-1.0125616868550922
Return On Equity (TTM),0.028999999999999998,0.1057,Effectiveness,0.27436140018921473
Return On Assets (TTM),0.0078000000000000005,0.0404,Effectiveness,0.1930693069306931
Return On Investment (TTM),0.013999999999999999,0.0584,Effectiveness,0.23972602739726026
Revenue Per Employee (TTM),1389220.0,447825.0,Effectiveness,3.102149277061352
Total Debt/Total Capital (MRQ),0.2261,0.40990000000000004,Financial strength,0.5515979507196876
Change in Debt/Total Capital Quarter over Quarter,-0.001,0.004,Financial strength,-0.25
Quick Ratio (MRQ),1.44,1.07,Financial strength,1.3457943925233644
Interest Coverage (MRQ),,12.43,Financial strength,
