,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,67.4,68.58,49.03,28.68,44.31,40.46,,,,,
low,61.54,38.55,22.55,8.9,25.88,25.35,,,,,
change,-0.022799999999999997,-0.3678,-0.303,-0.0461,0.43710000000000004,-0.0883,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,396.0,361.0,175.0,255.0,Balance Sheet
Short Term Investments,,,,,,,190.0,206.0,232.0,227.0,Balance Sheet
Cash and Short Term Invs,,,,,,,586.0,567.0,407.0,482.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,466.0,381.0,528.0,619.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,,,,,610.0,561.0,717.0,859.0,Balance Sheet
Total Inventory,,,,,,,62.0,74.0,79.0,81.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,393.0,212.0,223.0,0.0,Balance Sheet
Other Current Assets,,,,,,,177.0,179.0,167.0,157.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,570.0,391.0,390.0,157.0,Balance Sheet
Total Current Assets,,,,,,,1827.0,1593.0,1593.0,1580.0,Balance Sheet
Buildings,,,,,,,96.0,96.0,97.0,104.0,Balance Sheet
Land/Improvements,,,,,,,109.0,108.0,109.0,115.0,Balance Sheet
Machinery/Equipment,,,,,,,871.0,885.0,909.0,990.0,Balance Sheet
Natural Resources,,,,,,,192.0,206.0,206.0,205.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,124.0,126.0,123.0,132.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,1392.0,1422.0,1445.0,1547.0,Balance Sheet
Accumulated Depreciation,,,,,,,-909.0,-922.0,-935.0,-996.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,483.0,499.0,510.0,550.0,Balance Sheet
"Goodwill, Net",,,,,,,54.0,54.0,54.0,74.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,,,23.0,23.0,23.0,79.0,Balance Sheet
LT Investments - Other,,,,,,,16.0,22.0,22.0,22.0,Balance Sheet
Long Term Investments,,,,,,,39.0,45.0,45.0,100.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,24.0,26.0,25.0,46.0,Balance Sheet
Disct. Ops. - LT Asset,,,,,,,,0.0,0.0,,Balance Sheet
Other Long Term Assets,,,,,,,68.0,66.0,64.0,58.0,Balance Sheet
Total Assets,,,,,,,2495.0,2282.0,2291.0,2408.0,Balance Sheet
Accounts Payable,,,,,,,324.0,285.0,332.0,398.0,Balance Sheet
Accrued Expenses,,,,,,,453.0,440.0,435.0,450.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,9.0,9.0,1.0,1.0,Balance Sheet
Customer Advances,,,,,,,170.0,142.0,160.0,171.0,Balance Sheet
Discontinued Operations,,,,,,,83.0,40.0,47.0,0.0,Balance Sheet
Other Current Liabilities,,,,,,,30.0,23.0,20.0,21.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,283.0,206.0,226.0,191.0,Balance Sheet
Total Current Liabilities,,,,,,,1069.0,939.0,994.0,1041.0,Balance Sheet
Total Long Term Debt,,,,,,,331.0,291.0,287.0,287.0,Balance Sheet
Total Debt,,,,,,,340.0,299.0,288.0,288.0,Balance Sheet
Deferred Income Tax,,,,,,,2.0,,,,Balance Sheet
Minority Interest,,,,,,,28.0,37.0,33.0,36.0,Balance Sheet
"Other Liabilities, Total",,,,,,,97.0,95.0,93.0,93.0,Balance Sheet
Total Liabilities,,,,,,,1527.0,1362.0,1407.0,1457.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
