,GVA
% Below High,0.1429
% Held by Institutions,0.9581000000000001
52-Wk Range,['25.35 - 41.42']
Annual Dividend $,0.52
Annual Dividend %,0.0146
Ask,39.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.4
Bid,28.0
Bid Size,100.0
Closing Price,35.5
Day Change $,0.61
Day Change %,0.0175
Day High,35.63
Day Low,35.06
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",0.68
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.344
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",52.33
Prev Close,34.89
Short Interest,0.1231
Today's Open,35.12
Volume,73787.0
Volume 10-day Avg,225398.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.4189944134078212
Growth 2yr High Est,0.6631578947368422
Growth 2yr Consensus Est,0.5410761540723317
Growth 5yr Low Est,0.4189944134078212
Growth 5yr High Est,0.6631578947368422
Growth 5yr Consensus Est,0.5410761540723317
Growth 5yr Actual/Est,2.0782832265829194
Growth 3yr Historic,0.09898347228316512
Price/Earnings (TTM),52.3267
Price/Sales (TTM),0.58814
Price/Book (MRQ),1.63195
Price/Cash Flow (TTM),14.23335
5yr Low,8.9
5yr High,68.58
5yr Avg Return,-0.06515
EPS Growth 5yr,
Revenue Growth 5yr,0.0366221
Dividend Growth 5yr,0.0
Short Int Current Month,5345341.0
Short Int Prev Month,5292084.0
Short Int Pct of Float,0.12307359999999999
Days to Cover,16.67886
Float,43.45542
Shares Outstanding,43.73006
Institutions Holding Shares,255.0
FCF Growth 5yr,0.30709230213286726
"Price/Earnings (TTM, GAAP)",52.33
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0962
Operating Profit Margin (TTM),0.0089
Net Profit Margin (TTM),0.0073
Annual Dividend Yield,0.0146
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),32.3613
EPS Growth (TTM),15.0083
Revenue Growth (MRQ),0.3144
Revenue Growth (TTM),-0.2257
Return On Equity (TTM),0.028999999999999998
Return On Assets (TTM),0.0078000000000000005
Return On Investment (TTM),0.013999999999999999
Revenue Per Employee (TTM),1389220.0
Total Debt/Total Capital (MRQ),0.2261
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),1.44
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-11-10 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-20 00:00:00
cfra since,
marketEdge opinion since,
