,LVS
% Below High,0.1057
% Held by Institutions,0.3982
52-Wk Range,['28.88 - 48.27']
Annual Dividend $,
Annual Dividend %,
Ask,44.8
Ask Size,600.0
B/A Ratio,0.8333333333333334
B/A Size,500x600
Beta,1.1
Bid,44.6
Bid Size,500.0
Change Since Close,1.45| |(3.36%)
Closing Price,43.17
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.5
Ex-dividend Date,No dividend
Historical Volatility,0.583
Last (size),14.0
Last (time),5:00p ET 11/25/22
Last Trade,44.62
Market Cap,33.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,43.17
Short Interest,0.049800000000000004
Today's Open,
Volume,21673.0
Volume 10-day Avg,4916806.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.13043478260869557
Growth 1yr High Est,-0.125
Growth 1yr Consensus Est,-0.12771739130434778
Growth 2yr Low Est,-0.6735507246376812
Growth 2yr High Est,-1.628434065934066
Growth 2yr Consensus Est,-1.1509923952858736
Growth 5yr Low Est,-0.8885297482837529
Growth 5yr High Est,-1.2566244403744404
Growth 5yr Consensus Est,-1.0725770943290964
Growth 5yr Actual/Est,-1.067758865849278
Growth 3yr Historic,-0.523425743720338
Price/Earnings (TTM),
Price/Sales (TTM),8.2452
Price/Book (MRQ),8.45689
Price/Cash Flow (TTM),
5yr Low,28.88
5yr High,81.45
5yr Avg Return,-0.043133333333333336
EPS Growth 5yr,
Revenue Growth 5yr,-0.1778375
Dividend Growth 5yr,
Short Int Current Month,16425927.0
Short Int Prev Month,18567432.0
Short Int Pct of Float,0.04976149999999999
Days to Cover,2.68453
Float,330.0929
Shares Outstanding,764.1663
Institutions Holding Shares,805.0
FCF Growth 5yr,0.28932058951448675
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4006
Operating Profit Margin (TTM),-0.19100000000000003
Net Profit Margin (TTM),-0.39670000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.17070000000000002
EPS Growth (TTM),-0.0034999999999999996
Revenue Growth (MRQ),-0.0383
Revenue Growth (TTM),-0.056600000000000004
Return On Equity (TTM),-0.3809
Return On Assets (TTM),-0.0767
Return On Investment (TTM),-0.09
Revenue Per Employee (TTM),89910.0
Total Debt/Total Capital (MRQ),0.8018000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.82
Interest Coverage (MRQ),-1.21
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-04-16 00:00:00
theStreet since,2021-07-26 00:00:00
cfra since,2022-10-20 00:00:00
ford since,2022-07-29 00:00:00
marketEdge opinion since,
