,HIBB
% Below High,0.24719999999999998
% Held by Institutions,0.9803000000000001
52-Wk Range,['39.58 - 90.58']
Annual Dividend $,1.0
Annual Dividend %,0.0147
Ask,75.0
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.7
Bid,66.02
Bid Size,100.0
Closing Price,68.19
Day Change $,-1.51
Day Change %,-0.0217
Day High,70.03
Day Low,68.05
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",7.69
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.622
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,873.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.87
Prev Close,69.7
Short Interest,0.1437
Today's Open,69.4
Volume,215600.0
Volume 10-day Avg,250067.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2022-11-29 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.19964028776978404
Growth 1yr High Est,-0.09131602506714409
Growth 1yr Consensus Est,-0.14547815641846407
Growth 2yr Low Est,-0.06049430118826282
Growth 2yr High Est,0.029218834757068324
Growth 2yr Consensus Est,-0.01563773321559725
Growth 5yr Low Est,0.5799969920921416
Growth 5yr High Est,0.583155910037588
Growth 5yr Consensus Est,0.5815764510648648
Growth 5yr Actual/Est,0.6053776094156189
Growth 3yr Historic,0.6137602036522762
Price/Earnings (TTM),8.86682
Price/Sales (TTM),0.55204
Price/Book (MRQ),2.7123
Price/Cash Flow (TTM),5.9116
5yr Low,7.33
5yr High,101.65
5yr Avg Return,0.31323333333333336
EPS Growth 5yr,0.3265477
Revenue Growth 5yr,0.11691259999999999
Dividend Growth 5yr,
Short Int Current Month,1692252.0
Short Int Prev Month,1578164.0
Short Int Pct of Float,0.143708
Days to Cover,8.01032
Float,11.79851
Shares Outstanding,12.80657
Institutions Holding Shares,266.0
FCF Growth 5yr,-1.5658082269141638
"Price/Earnings (TTM, GAAP)",8.87
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.35729999999999995
Operating Profit Margin (TTM),0.0885
Net Profit Margin (TTM),0.0676
Annual Dividend Yield,0.0147
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3553
EPS Growth (TTM),-0.2805
Revenue Growth (MRQ),-0.0737
Revenue Growth (TTM),-0.032100000000000004
Return On Equity (TTM),0.2959
Return On Assets (TTM),0.1266
Return On Investment (TTM),0.18539999999999998
Revenue Per Employee (TTM),439423.0
Total Debt/Total Capital (MRQ),0.2197
Change in Debt/Total Capital Quarter over Quarter,0.2503
Quick Ratio (MRQ),0.21
Interest Coverage (MRQ),90.89
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-05-11 00:00:00
researchTeam since,2021-07-23 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-02-25 00:00:00
cfra since,
marketEdge opinion since,
