,LIND
% Above Low,0.6565000000000001
% Held by Institutions,0.7090000000000001
52-Wk Range,['5.91 - 19.13']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,2.1
Bid,
Bid Size,
Closing Price,9.79
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.17
Ex-dividend Date,No dividend
Historical Volatility,0.876
Last (size),16.0
Last (time),1:00p ET 11/25/22
Market Cap,520.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,9.79
Short Interest,0.18510000000000001
Today's Open,
Volume,52255.0
Volume 10-day Avg,270028.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.11157024793388426
Growth 1yr High Est,-0.12
Growth 1yr Consensus Est,-0.11578512396694213
Growth 2yr Low Est,-0.486017682106477
Growth 2yr High Est,-0.5574747474747475
Growth 2yr Consensus Est,-0.5217462147906122
Growth 5yr Low Est,-2.4079786751407197
Growth 5yr High Est,-1.8886465206422087
Growth 5yr Consensus Est,-2.1483125978914646
Growth 5yr Actual/Est,-2.2659028246608366
Growth 3yr Historic,-1.9948916133617622
Price/Earnings (TTM),
Price/Sales (TTM),1.40955
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.01
5yr High,21.91
5yr Avg Return,0.016783333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.09501889999999999
Dividend Growth 5yr,
Short Int Current Month,6306695.0
Short Int Prev Month,6833595.0
Short Int Pct of Float,0.18510739999999998
Days to Cover,13.21549
Float,34.03357
Shares Outstanding,53.1412
Institutions Holding Shares,162.0
FCF Growth 5yr,1.6607473526130134
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.29760000000000003
Operating Profit Margin (TTM),-0.20940000000000003
Net Profit Margin (TTM),-0.2776
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6864
EPS Growth (TTM),0.155
Revenue Growth (MRQ),0.5926
Revenue Growth (TTM),3.5056000000000003
Return On Equity (TTM),
Return On Assets (TTM),-0.12480000000000001
Return On Investment (TTM),-0.20260000000000003
Revenue Per Employee (TTM),512626.0
Total Debt/Total Capital (MRQ),1.1094
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),0.61
Interest Coverage (MRQ),0.63
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2020-03-20 00:00:00
theStreet since,2021-03-10 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
