,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,41.8,43.75,6.3,,,,,
low,21.34,5.67,2.52,,,,,
change,-0.0070999999999999995,-0.763,-0.39280000000000004,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,746.0,177.0,257.0,333.0,Balance Sheet
Short Term Investments,,,,0.0,498.0,373.0,249.0,Balance Sheet
Cash and Short Term Invs,,,,746.0,675.0,630.0,582.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,45.0,42.0,42.0,47.0,Balance Sheet
Prov. for Doubtful Accts,,,,-2.0,-2.0,-1.0,-2.0,Balance Sheet
"Trade Accts Recvble, Net",,,,49.0,45.0,45.0,46.0,Balance Sheet
Notes Recvble - Short Term,,,,16.0,,,,Balance Sheet
Other Receivables,,,,2.0,2.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,68.0,47.0,45.0,46.0,Balance Sheet
Total Inventory,,,,8.0,8.0,8.0,8.0,Balance Sheet
Prepaid Expenses,,,,3.0,22.0,22.0,21.0,Balance Sheet
Restricted Cash - Current,,,,0.0,,,,Balance Sheet
Other Current Assets,,,,2.0,1.0,2.0,1.0,Balance Sheet
"Other Curr. Assets, Total",,,,2.0,1.0,2.0,1.0,Balance Sheet
Total Current Assets,,,,827.0,753.0,707.0,657.0,Balance Sheet
Buildings,,,,1.0,,,,Balance Sheet
Machinery/Equipment,,,,13.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,17.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,30.0,,,,Balance Sheet
Accumulated Depreciation,,,,-12.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,19.0,17.0,16.0,15.0,Balance Sheet
"Goodwill, Net",,,,443.0,441.0,434.0,425.0,Balance Sheet
Intangibles - Gross,,,,186.0,186.0,183.0,179.0,Balance Sheet
Accum. Intangible Amort.,,,,-34.0,-41.0,-47.0,-52.0,Balance Sheet
Intangibles - Net,,,,152.0,145.0,136.0,127.0,Balance Sheet
Long Term Investments,,,,0.0,0.0,1.0,1.0,Balance Sheet
Deferred Charges,,,,3.0,3.0,2.0,3.0,Balance Sheet
Restricted Cash - LT,,,,1.0,1.0,1.0,1.0,Balance Sheet
Other Long Term Assets,,,,1.0,2.0,1.0,2.0,Balance Sheet
Total Assets,,,,1446.0,1362.0,1298.0,1232.0,Balance Sheet
Accounts Payable,,,,12.0,7.0,5.0,6.0,Balance Sheet
Accrued Expenses,,,,53.0,31.0,39.0,39.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,69.0,69.0,64.0,50.0,Balance Sheet
Other Current Liabilities,,,,8.0,22.0,8.0,10.0,Balance Sheet
"Other Curr. Lblts, Total",,,,77.0,91.0,72.0,60.0,Balance Sheet
Total Current Liabilities,,,,142.0,129.0,116.0,105.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Minority Interest,,,,22.0,21.0,21.0,20.0,Balance Sheet
"Other Liabilities, Total",,,,43.0,24.0,21.0,22.0,Balance Sheet
Total Liabilities,,,,207.0,174.0,158.0,147.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,,2054.0,2077.0,2109.0,2134.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-811.0,-881.0,-950.0,-1021.0,Balance Sheet
Treasury Stock - Common,,,,0.0,,,,Balance Sheet
"Other Equity, Total",,,,-6.0,-11.0,-21.0,-31.0,Balance Sheet
Total Equity,,,,1239.0,1187.0,1140.0,1084.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1446.0,1362.0,1298.0,1232.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,229.0,233.0,240.0,242.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,27.0,27.0,27.0,27.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,,,,6.0,6.0,6.0,6.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,262.0,266.0,273.0,275.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 3,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,72750.0,64232.0,64516.0,69209.0,Income Statement
