,MNRO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",31.1,19.03,Valuation,1.6342616920651603
Price/Sales (TTM),1.08,1.93,Valuation,0.5595854922279794
Price/Book (MRQ),2.05,92.12,Valuation,0.02225358228397742
"PEG Ratio (TTM, GAAP)",2.07,7.27,Valuation,0.28473177441540576
Gross Profit Margin (TTM),0.344,0.34390000000000004,Profitability,1.000290782204129
Operating Profit Margin (TTM),0.06570000000000001,0.11789999999999999,Profitability,0.5572519083969467
Net Profit Margin (TTM),0.0374,0.0818,Profitability,0.45721271393643037
Annual Dividend Yield,0.024300000000000002,0.016200000000000003,Dividend,1.5
Dividend Change %,0.11359999999999999,0.2582,Dividend,0.4399690162664601
"Dividend Growth Rate, 3 Years",0.0791,0.09390000000000001,Dividend,0.8423855165069222
EPS Growth (MRQ),0.092,-0.10800000000000001,Gowth rates,-0.8518518518518517
EPS Growth (TTM),-0.0775,0.0262,Gowth rates,-2.9580152671755724
Revenue Growth (MRQ),-0.0564,0.0478,Gowth rates,-1.1799163179916317
Revenue Growth (TTM),0.054400000000000004,0.0874,Gowth rates,0.6224256292906178
Return On Equity (TTM),0.0669,5.2054,Effectiveness,0.01285203826795251
Return On Assets (TTM),0.027700000000000002,0.1562,Effectiveness,0.177336747759283
Return On Investment (TTM),0.034300000000000004,0.26,Effectiveness,0.13192307692307692
Revenue Per Employee (TTM),154190.0,410011.0,Effectiveness,0.3760630812344059
Total Debt/Total Capital (MRQ),0.4046,0.8926999999999999,Financial strength,0.45323176879130733
Change in Debt/Total Capital Quarter over Quarter,-0.0012,0.0016,Financial strength,-0.7499999999999999
Quick Ratio (MRQ),0.27,0.39,Financial strength,0.6923076923076923
Interest Coverage (MRQ),4.39,13.36,Financial strength,0.3285928143712575
