,MNRO
% Above Low,0.23149999999999998
% Held by Institutions,1.1233
52-Wk Range,['37.49 - 60.86']
Annual Dividend $,1.12
Annual Dividend %,0.024300000000000002
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,46.17
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",1.48
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.401
Last (size),15.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",31.1
Prev Close,46.17
Short Interest,0.12269999999999999
Today's Open,
Volume,109834.0
Volume 10-day Avg,263099.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.22448979591836737
Growth 1yr High Est,-0.2211981566820277
Growth 1yr Consensus Est,-0.22284397630019753
Growth 2yr Low Est,-0.006981740064446851
Growth 2yr High Est,-0.004090202601368886
Growth 2yr Consensus Est,-0.005535971332907869
Growth 5yr Low Est,-0.0034908700322234254
Growth 5yr High Est,-0.002045101300684443
Growth 5yr Consensus Est,-0.0027679856664539343
Growth 5yr Actual/Est,0.06958980910735296
Growth 3yr Historic,0.04820175438596494
Price/Earnings (TTM),31.09573
Price/Sales (TTM),1.07644
Price/Book (MRQ),2.04576
Price/Cash Flow (TTM),11.14735
5yr Low,37.09
5yr High,89.72
5yr Avg Return,0.03469999999999999
EPS Growth 5yr,-0.0043037
Revenue Growth 5yr,0.0588056
Dividend Growth 5yr,0.082272
Short Int Current Month,3787714.0
Short Int Prev Month,3769833.0
Short Int Pct of Float,0.1227164
Days to Cover,16.80352
Float,30.87696
Shares Outstanding,31.45547
Institutions Holding Shares,284.0
FCF Growth 5yr,0.08719829954813325
"Price/Earnings (TTM, GAAP)",31.1
"PEG Ratio (TTM, GAAP)",2.07
Gross Profit Margin (TTM),0.344
Operating Profit Margin (TTM),0.06570000000000001
Net Profit Margin (TTM),0.0374
Annual Dividend Yield,0.024300000000000002
Dividend Change %,0.11359999999999999
"Dividend Growth Rate, 3 Years",0.0791
EPS Growth (MRQ),0.092
EPS Growth (TTM),-0.0775
Revenue Growth (MRQ),-0.0564
Revenue Growth (TTM),0.054400000000000004
Return On Equity (TTM),0.0669
Return On Assets (TTM),0.027700000000000002
Return On Investment (TTM),0.034300000000000004
Revenue Per Employee (TTM),154190.0
Total Debt/Total Capital (MRQ),0.4046
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),0.27
Interest Coverage (MRQ),4.39
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-02-01 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
