,MNRO
Price/Earnings (TTM),31.09573
Price/Sales (TTM),1.07644
Price/Book (MRQ),2.04576
Price/Cash Flow (TTM),11.14735
5yr Low,37.09
5yr High,89.72
5yr Avg Return,0.03469999999999999
EPS Growth 5yr,-0.0043037
Revenue Growth 5yr,0.0588056
Dividend Growth 5yr,0.082272
Short Int Current Month,3787714.0
Short Int Prev Month,3769833.0
Short Int Pct of Float,0.1227164
Days to Cover,16.80352
Float,30.87696
Shares Outstanding,31.45547
Institutions Holding Shares,284.0
% Held by Institutions,1.12325
FCF Growth 5yr,0.08719829954813325
