,APEI
% Above Low,0.6243
% Held by Institutions,0.8722
52-Wk Range,['7.83 - 24.73']
Annual Dividend $,
Annual Dividend %,
Ask,13.98
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,0.7
Bid,12.2
Bid Size,500.0
Closing Price,12.71
Day Change $,-0.18
Day Change %,-0.013999999999999999
Day High,12.99
Day Low,12.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.25
Ex-dividend Date,No dividend
Historical Volatility,0.585
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,240.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,12.89
Short Interest,0.0286
Today's Open,12.99
Volume,57560.0
Volume 10-day Avg,106805.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-6.390909090909091
Growth 1yr High Est,-5.588709677419355
Growth 1yr Consensus Est,-5.989809384164223
Growth 2yr Low Est,-3.7131611221830445
Growth 2yr High Est,-3.359381200748342
Growth 2yr Consensus Est,-3.5362711614656934
Growth 5yr Low Est,-1.8495712152971298
Growth 5yr High Est,-1.6529048860884568
Growth 5yr Consensus Est,-1.7512380506927934
Growth 5yr Actual/Est,-2.046265480287234
Growth 3yr Historic,-0.019302752293577974
Price/Earnings (TTM),
Price/Sales (TTM),0.395
Price/Book (MRQ),0.76143
Price/Cash Flow (TTM),
5yr Low,7.83
5yr High,46.15
5yr Avg Return,-0.08271666666666666
EPS Growth 5yr,-0.0817727
Revenue Growth 5yr,0.0598747
Dividend Growth 5yr,
Short Int Current Month,525258.0
Short Int Prev Month,862484.0
Short Int Pct of Float,0.0285533
Days to Cover,3.84841
Float,18.41623
Shares Outstanding,18.89208
Institutions Holding Shares,161.0
FCF Growth 5yr,1.6058986687653352
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5345000000000001
Operating Profit Margin (TTM),-0.19210000000000002
Net Profit Margin (TTM),-0.163
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9658
EPS Growth (TTM),-6.3865
Revenue Growth (MRQ),-0.0005
Revenue Growth (TTM),0.7333
Return On Equity (TTM),-0.27530000000000004
Return On Assets (TTM),-0.1431
Return On Investment (TTM),-0.1654
Revenue Per Employee (TTM),104809.0
Total Debt/Total Capital (MRQ),0.3311
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),-0.24
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2021-08-20 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-11 00:00:00
