,HUBB
% Below High,0.011699999999999999
% Held by Institutions,0.9185
52-Wk Range,['170.21 - 261.59']
Annual Dividend $,4.48
Annual Dividend %,0.0173
Ask,415.13
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,234.7
Bid Size,100.0
Closing Price,258.52
Day Change $,2.44
Day Change %,0.0095
Day High,260.24
Day Low,256.06
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.67
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.298
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,13.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.81
Prev Close,256.08
Short Interest,0.0194
Today's Open,256.74
Volume,171311.0
Volume 10-day Avg,431693.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.23952095808383245
Growth 1yr High Est,0.23231132075471694
Growth 1yr Consensus Est,0.2359161394192747
Growth 2yr Low Est,0.1361855998148631
Growth 2yr High Est,0.1783566173151575
Growth 2yr Consensus Est,0.1572711085650103
Growth 5yr Low Est,0.07945902654317713
Growth 5yr High Est,0.1021224670032023
Growth 5yr Consensus Est,0.09079074677318971
Growth 5yr Actual/Est,0.08801777305572445
Growth 3yr Historic,-0.0011242965023330331
Price/Earnings (TTM),29.81377
Price/Sales (TTM),3.12802
Price/Book (MRQ),5.98785
Price/Cash Flow (TTM),22.69374
5yr Low,85.62
5yr High,261.59
5yr Avg Return,0.15626666666666666
EPS Growth 5yr,0.04867200000000001
Revenue Growth 5yr,0.0365379
Dividend Growth 5yr,0.0923885
Short Int Current Month,1035485.0
Short Int Prev Month,811343.0
Short Int Pct of Float,0.0193666
Days to Cover,1.87179
Float,53.45248
Shares Outstanding,53.70583
Institutions Holding Shares,638.0
FCF Growth 5yr,-0.49908913684927647
"Price/Earnings (TTM, GAAP)",29.81
"PEG Ratio (TTM, GAAP)",2.98
Gross Profit Margin (TTM),0.2957
Operating Profit Margin (TTM),0.1437
Net Profit Margin (TTM),0.1076
Annual Dividend Yield,0.0173
Dividend Change %,0.07690000000000001
"Dividend Growth Rate, 3 Years",0.0837
EPS Growth (MRQ),0.1067
EPS Growth (TTM),0.46399999999999997
Revenue Growth (MRQ),0.0479
Revenue Growth (TTM),0.2233
Return On Equity (TTM),0.20940000000000003
Return On Assets (TTM),0.09029999999999999
Return On Investment (TTM),0.1129
Revenue Per Employee (TTM),242547.0
Total Debt/Total Capital (MRQ),0.3822
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),1.18
Interest Coverage (MRQ),17.36
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-04-27 00:00:00
researchTeam since,2022-10-14 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-07-28 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
