,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,36.67,36.76,35.98,38.26,38.21,39.82,,,,,
low,31.22,22.06,24.59,13.06,26.37,27.88,,,,,
change,0.1509,-0.2702,0.2429,-0.1208,0.29850000000000004,-0.0024,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,233.0,262.0,249.0,305.0,Balance Sheet
Short Term Investments,,,,,,,193.0,195.0,181.0,177.0,Balance Sheet
Cash and Short Term Invs,,,,,,,427.0,457.0,430.0,481.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,65.0,56.0,54.0,49.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,65.0,56.0,54.0,49.0,Balance Sheet
Other Receivables,,,,,,,31.0,29.0,36.0,33.0,Balance Sheet
"Total Receivables, Net",,,,,,,96.0,85.0,90.0,82.0,Balance Sheet
Prepaid Expenses,,,,,,,29.0,32.0,34.0,26.0,Balance Sheet
Restricted Cash - Current,,,,,,,4.0,4.0,4.0,4.0,Balance Sheet
Other Current Assets,,,,,,,3.0,3.0,3.0,38.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,7.0,7.0,7.0,41.0,Balance Sheet
Total Current Assets,,,,,,,559.0,582.0,561.0,630.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,161.0,161.0,154.0,152.0,Balance Sheet
Accumulated Depreciation,,,,,,,-114.0,-117.0,-112.0,-115.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,155.0,150.0,141.0,131.0,Balance Sheet
"Goodwill, Net",,,,,,,799.0,795.0,785.0,775.0,Balance Sheet
Intangibles - Gross,,,,,,,511.0,500.0,475.0,448.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-40.0,-42.0,-42.0,-41.0,Balance Sheet
Intangibles - Net,,,,,,,471.0,459.0,433.0,407.0,Balance Sheet
Other Long Term Assets,,,,,,,33.0,33.0,31.0,29.0,Balance Sheet
Total Assets,,,,,,,2018.0,2019.0,1952.0,1973.0,Balance Sheet
Payable/Accrued,,,,,,,64.0,65.0,74.0,72.0,Balance Sheet
Accrued Expenses,,,,,,,180.0,91.0,112.0,136.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Income Taxes Payable,,,,,,,,11.0,,,Balance Sheet
Other Current Liabilities,,,,,,,27.0,13.0,22.0,31.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,27.0,25.0,22.0,31.0,Balance Sheet
Total Current Liabilities,,,,,,,271.0,181.0,207.0,239.0,Balance Sheet
Total Long Term Debt,,,,,,,223.0,397.0,397.0,398.0,Balance Sheet
Total Debt,,,,,,,223.0,397.0,397.0,398.0,Balance Sheet
Deferred Income Tax,,,,,,,205.0,205.0,197.0,189.0,Balance Sheet
Minority Interest,,,,,,,63.0,49.0,55.0,55.0,Balance Sheet
"Other Liabilities, Total",,,,,,,142.0,129.0,127.0,121.0,Balance Sheet
Total Liabilities,,,,,,,904.0,961.0,984.0,1001.0,Balance Sheet
Common Stock,,,,,,,449.0,458.0,468.0,434.0,Balance Sheet
Additional Paid-In Capital,,,,,,,,4.0,3.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,1187.0,1192.0,1225.0,1002.0,Balance Sheet
Treasury Stock - Common,,,,,,,-538.0,-595.0,-684.0,-377.0,Balance Sheet
"Other Equity, Total",,,,,,,16.0,-1.0,-44.0,-87.0,Balance Sheet
Total Equity,,,,,,,1114.0,1058.0,968.0,971.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,2018.0,2019.0,1952.0,1973.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,,93.0,92.0,89.0,89.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,93.0,92.0,89.0,89.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,16.0,17.0,20.0,11.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,321645.0,324764.0,366008.0,381143.0,Income Statement
"Cost of Revenue, Total",,,,,,,16279.0,13468.0,13976.0,14203.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,72951.0,81173.0,116529.0,124369.0,Income Statement
Labor & Related Expense,,,,,,,124107.0,133965.0,128086.0,126668.0,Income Statement
Advertising Expense,,,,,,,9493.0,2732.0,4736.0,6496.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,206551.0,217870.0,249351.0,257533.0,Income Statement
"Other Operat Expse, Total",,,,,,,10232.0,9477.0,10363.0,12627.0,Income Statement
Total Operating Expense,,,,,,,233062.0,240815.0,273690.0,284363.0,Income Statement
Total Operating Income,,,,,,,88583.0,83949.0,92318.0,96780.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-472.0,-1221.0,-3350.0,-3302.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,3257.0,-10601.0,-19308.0,-4226.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,258.0,81.0,-13.0,-38.0,Income Statement
"Other, Net",,,,,,,258.0,81.0,-13.0,-38.0,Income Statement
Income Before Tax,,,,,,,91626.0,72208.0,69647.0,89214.0,Income Statement
Income Tax - Total,,,,,,,20629.0,17611.0,18889.0,21640.0,Income Statement
Income After Tax,,,,,,,70997.0,54597.0,50758.0,67574.0,Income Statement
Minority Interest,,,,,,,-2434.0,1266.0,6899.0,1905.0,Income Statement
Net Inc Before Extra Items,,,,,,,68563.0,55863.0,57657.0,69479.0,Income Statement
Total Net Income,,,,,,,68563.0,55863.0,57657.0,69479.0,Income Statement
Total Adjust to Net Income,,,,,,,-2914.0,-2567.0,-3218.0,-3713.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,65649.0,53296.0,54439.0,65766.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,65649.0,53296.0,54439.0,65766.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,91908.0,86040.0,85373.0,84341.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.71,0.62,0.64,0.78,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.71,0.62,0.64,0.78,Income Statement
Diluted Weighted Average Shares,,,,,,,91908.0,86040.0,85373.0,84341.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,0.71,0.62,0.64,0.78,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,0.71,0.62,0.64,0.78,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.27,0.27,0.27,0.27,Income Statement
Gross Divid - Common Stock,,,,,,,26090.0,24952.0,24705.0,24141.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,472.0,1221.0,3350.0,3302.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,7371.0,7462.0,6961.0,6774.0,Income Statement
Normalzd Income Before Tax,,,,,,,91626.0,72208.0,69647.0,89214.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,20629.0,17611.0,18889.0,21640.0,Income Statement
Normalized Income After Tax,,,,,,,70997.0,54597.0,50758.0,67574.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,65649.0,53296.0,54439.0,65766.0,Income Statement
Basic Normalized EPS,,,,,,,0.71,0.62,0.64,0.78,Income Statement
Diluted Normalized EPS,,,,,,,0.71,0.62,0.64,0.78,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,272308.0,54597.0,105355.0,172929.0,Cash Flow
Depreciation/Depletion,,,,,,,30010.0,7462.0,14423.0,21197.0,Cash Flow
Deferred Taxes,,,,,,,19033.0,2342.0,-2163.0,-6969.0,Cash Flow
Unusual Items,,,,,,,1450.0,11677.0,32558.0,39391.0,Cash Flow
Other Non-Cash Items,,,,,,,39705.0,9995.0,19427.0,28326.0,Cash Flow
Non-Cash Items,,,,,,,41155.0,21672.0,51985.0,67717.0,Cash Flow
Accounts Receivable,,,,,,,6662.0,9843.0,10.0,4537.0,Cash Flow
Prepaid Expenses,,,,,,,10275.0,-2892.0,-3526.0,-23734.0,Cash Flow
Payable/Accrued,,,,,,,-6365.0,-88206.0,-53008.0,-22984.0,Cash Flow
Changes in Working Capital,,,,,,,-192123.0,-105320.0,-90084.0,-63339.0,Cash Flow
Total Cash from Operations,,,,,,,170383.0,-19247.0,79516.0,191535.0,Cash Flow
Capital Expenditures,,,,,,,-10421.0,-1853.0,-2889.0,-4094.0,Cash Flow
Acquisition of Business,,,,,,,-5324.0,,,,Cash Flow
Sale of Business,,,,,,,0.0,,,0.0,Cash Flow
Sale/Maturity of Investment,,,,,,,35990.0,1321.0,8067.0,21389.0,Cash Flow
Purchase of Investments,,,,,,,-9429.0,-2008.0,-5081.0,-18606.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,21237.0,-687.0,2986.0,2783.0,Cash Flow
Total Cash from Investing,,,,,,,10816.0,-2540.0,97.0,-1311.0,Cash Flow
Financing Cash Flow Items,,,,,,,-63709.0,16502.0,30646.0,18380.0,Cash Flow
Total Cash Dividends Paid,,,,,,,-105764.0,-24953.0,-49659.0,-73804.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,-228349.0,-113338.0,-204604.0,-211216.0,Cash Flow
Long Term Debt Issued,,,,,,,295650.0,488300.0,488300.0,488300.0,Cash Flow
Long Term Debt Reduction,,,,,,,-147300.0,-311650.0,-311650.0,-311650.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,148350.0,176650.0,176650.0,176650.0,Cash Flow
Total Cash From Financing,,,,,,,-249472.0,54861.0,-46967.0,-89990.0,Cash Flow
Foreign Exchange Effects,,,,,,,-2311.0,-4505.0,-17717.0,-29980.0,Cash Flow
Net Change in Cash,,,,,,,-70584.0,28569.0,14929.0,70254.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,308635.0,238052.0,238052.0,238052.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,238051.0,266621.0,252981.0,308306.0,Cash Flow
"Depreciation, Supplemental",,,,,,,30010.0,7462.0,14423.0,21197.0,Cash Flow
Free Cash Flow,,,,,,,159962.0,-21100.0,76627.0,187441.0,
FCF Growth,,,,,,,,-1.1319063277528414,-4.6316113744075835,1.4461482245161625,
