,FHI
% Below High,0.053200000000000004
% Held by Institutions,0.8062
52-Wk Range,['27.88 - 39.82']
Annual Dividend $,1.08
Annual Dividend %,0.0286
Ask,38.04
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,37.7
Day Change $,0.24
Day Change %,0.0064
Day High,37.98
Day Low,37.2
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",2.76
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.31
Last (size),41.0
Last (time),5:00p ET 11/25/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",13.66
Prev Close,37.46
Short Interest,0.016399999999999998
Today's Open,37.75
Volume,98539.0
Volume 10-day Avg,615170.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.02919708029197088
Growth 1yr High Est,-0.04123711340206193
Growth 1yr Consensus Est,-0.035217096847016405
Growth 2yr Low Est,0.04743153504198444
Growth 2yr High Est,0.11558216014484712
Growth 2yr Consensus Est,0.08150684759341578
Growth 5yr Low Est,0.05104370274366429
Growth 5yr High Est,0.08440704965417262
Growth 5yr Consensus Est,0.06772537619891845
Growth 5yr Actual/Est,0.0522710653119392
Growth 3yr Historic,0.013034170819570229
Price/Earnings (TTM),13.66001
Price/Sales (TTM),2.40758
Price/Book (MRQ),3.45379
Price/Cash Flow (TTM),12.31262
5yr Low,13.06
5yr High,39.82
5yr Avg Return,0.049816666666666676
EPS Growth 5yr,0.0638475
Revenue Growth 5yr,0.026079699999999997
Dividend Growth 5yr,0.015511299999999999
Short Int Current Month,1378424.0
Short Int Prev Month,2094345.0
Short Int Pct of Float,0.0163554
Days to Cover,1.93381
Float,84.83532
Shares Outstanding,88.99507
Institutions Holding Shares,363.0
FCF Growth 5yr,-1.4391231592147544
"Price/Earnings (TTM, GAAP)",13.66
"PEG Ratio (TTM, GAAP)",0.99
Gross Profit Margin (TTM),0.9584
Operating Profit Margin (TTM),0.2595
Net Profit Margin (TTM),0.17500000000000002
Annual Dividend Yield,0.0286
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0063
EPS Growth (MRQ),0.20629999999999998
EPS Growth (TTM),-0.0851
Revenue Growth (MRQ),0.0414
Revenue Growth (TTM),0.0379
Return On Equity (TTM),0.2198
Return On Assets (TTM),0.1245
Return On Investment (TTM),0.1463
Revenue Per Employee (TTM),708110.0
Total Debt/Total Capital (MRQ),0.2793
Change in Debt/Total Capital Quarter over Quarter,0.028399999999999998
Quick Ratio (MRQ),
Interest Coverage (MRQ),12.86
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-10-27 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
