,SFBS
% Above Low,0.08960000000000001
% Held by Institutions,0.64
52-Wk Range,['68.55 - 97.25']
Annual Dividend $,0.92
Annual Dividend %,0.012
Ask,74.75
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.9
Bid,74.55
Bid Size,100.0
Day Change $,-1.89
Day Change %,-0.024700000000000003
Day High,76.43
Day Low,74.64
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",4.36
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.306
Last (size),1.0
Last (time),1:56p ET 11/28/22
Market Cap,4.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",17.58
Prev Close,76.58
Price,74.69
Short Interest,0.0435
Today's Open,76.43
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.21693121693121697
Growth 1yr High Est,0.2088772845953002
Growth 1yr Consensus Est,0.21290425076325858
Growth 2yr Low Est,0.1519438693351738
Growth 2yr High Est,0.15087492739484232
Growth 2yr Consensus Est,0.15140939836500805
Growth 5yr Low Est,0.17447397444321155
Growth 5yr High Est,0.1730425773686396
Growth 5yr Consensus Est,0.17375827590592557
Growth 5yr Actual/Est,0.16470005372356583
Growth 3yr Historic,0.09389065087101511
Price/Earnings (TTM),17.57777
Price/Sales (TTM),8.60576
Price/Book (MRQ),3.3493
Price/Cash Flow (TTM),17.20781
5yr Low,21.76
5yr High,97.25
5yr Avg Return,0.1668166666666667
EPS Growth 5yr,0.2022313
Revenue Growth 5yr,0.1435269
Dividend Growth 5yr,0.3899258
Short Int Current Month,2167017.0
Short Int Prev Month,2296200.0
Short Int Pct of Float,0.0434874
Days to Cover,18.02273
Float,49.82522
Shares Outstanding,54.32438
Institutions Holding Shares,328.0
FCF Growth 5yr,0.2262755779354543
"Price/Earnings (TTM, GAAP)",17.58
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5922
Net Profit Margin (TTM),0.4914
Annual Dividend Yield,0.012
Dividend Change %,0.1448
"Dividend Growth Rate, 3 Years",0.2003
EPS Growth (MRQ),0.0308
EPS Growth (TTM),0.1567
Revenue Growth (MRQ),0.1797
Revenue Growth (TTM),0.2193
Return On Equity (TTM),0.2016
Return On Assets (TTM),0.0167
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
theStreet since,2020-06-08 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
