,SFBS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.58,11.43,Valuation,1.538057742782152
Price/Sales (TTM),8.61,3.3,Valuation,2.609090909090909
Price/Book (MRQ),3.35,1.46,Valuation,2.2945205479452055
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.5922,0.34240000000000004,Profitability,1.7295560747663548
Net Profit Margin (TTM),0.4914,0.2812,Profitability,1.7475106685633002
Annual Dividend Yield,0.012,0.028700000000000003,Dividend,0.41811846689895465
Dividend Change %,0.1448,-0.0086,Dividend,-16.837209302325583
"Dividend Growth Rate, 3 Years",0.2003,0.0734,Dividend,2.7288828337874658
EPS Growth (MRQ),0.0308,-0.0335,Gowth rates,-0.9194029850746268
EPS Growth (TTM),0.1567,-0.09960000000000001,Gowth rates,-1.573293172690763
Revenue Growth (MRQ),0.1797,0.5429,Gowth rates,0.3310001841959845
Revenue Growth (TTM),0.2193,0.2466,Gowth rates,0.889294403892944
Return On Equity (TTM),0.2016,0.1135,Effectiveness,1.7762114537444933
Return On Assets (TTM),0.0167,0.0099,Effectiveness,1.6868686868686866
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0019,0.0009,Financial strength,2.111111111111111
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
