,EXPE
% Above Low,0.1938
% Held by Institutions,0.9255
52-Wk Range,['85.02 - 217.72']
Annual Dividend $,
Annual Dividend %,
Ask,101.9
Ask Size,200.0
B/A Ratio,10.0
B/A Size,2000x200
Beta,1.5
Bid,101.5
Bid Size,2000.0
Closing Price,101.5
Day Change $,0.62
Day Change %,0.0060999999999999995
Day High,103.56
Day Low,100.1
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.82
Ex-dividend Date,No dividend
Historical Volatility,0.54
Last (size),38.0
Last (time),1:00p ET 11/25/22
Market Cap,15.8B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",36.01
Prev Close,100.88
Short Interest,0.0263
Today's Open,100.34
Volume,966751.0
Volume 10-day Avg,2159352.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.04981549815498143
Growth 1yr High Est,0.23968253968253972
Growth 1yr Consensus Est,0.09493352076377914
Growth 2yr Low Est,0.23043205674775202
Growth 2yr High Est,0.3663201430807065
Growth 2yr Consensus Est,0.29837609991422925
Growth 5yr Low Est,0.11521602837387601
Growth 5yr High Est,0.18316007154035324
Growth 5yr Consensus Est,0.14918804995711463
Growth 5yr Actual/Est,0.010923173337757774
Growth 3yr Historic,-0.9038923458710669
Price/Earnings (TTM),36.00504
Price/Sales (TTM),1.39859
Price/Book (MRQ),7.00337
Price/Cash Flow (TTM),11.71836
5yr Low,40.76
5yr High,217.72
5yr Avg Return,-0.0041333333333333395
EPS Growth 5yr,
Revenue Growth 5yr,-0.0040345
Dividend Growth 5yr,
Short Int Current Month,3933387.0
Short Int Prev Month,3941813.0
Short Int Pct of Float,0.026261100000000002
Days to Cover,1.13764
Float,149.8543
Shares Outstanding,156.0909
Institutions Holding Shares,977.0
FCF Growth 5yr,0.056324627222688904
"Price/Earnings (TTM, GAAP)",36.01
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8552
Operating Profit Margin (TTM),0.1386
Net Profit Margin (TTM),0.0497
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.5323
EPS Growth (TTM),1.4128
Revenue Growth (MRQ),0.1377
Revenue Growth (TTM),0.5649000000000001
Return On Equity (TTM),0.233
Return On Assets (TTM),0.0257
Return On Investment (TTM),0.0562
Revenue Per Employee (TTM),765405.0
Total Debt/Total Capital (MRQ),0.6268
Change in Debt/Total Capital Quarter over Quarter,-0.0026000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.15
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-12-01 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-05-07 00:00:00
ford since,2021-12-23 00:00:00
marketEdge opinion since,
