,HBAN
% Below High,0.1433
% Held by Institutions,0.7990999999999999
52-Wk Range,['11.67 - 17.79']
Annual Dividend $,0.62
Annual Dividend %,0.0407
Ask,15.3
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.1
Bid,15.15
Bid Size,300.0
Closing Price,15.24
Day Change $,0.07
Day Change %,0.0046
Day High,15.39
Day Low,15.16
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",1.29
Ex-dividend,2022-12-16 00:00:00
Ex-dividend Date,12/16/22
Historical Volatility,0.349
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,22.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.85
Prev Close,15.17
Short Interest,0.0363
Today's Open,15.16
Volume,4746441.0
Volume 10-day Avg,13552720.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,1.076923076923077
Growth 1yr High Est,0.9342105263157894
Growth 1yr Consensus Est,1.0055668016194332
Growth 2yr Low Est,0.48290598290598297
Growth 2yr High Est,0.528329752953813
Growth 2yr Consensus Est,0.5056178679298979
Growth 5yr Low Est,0.12145299145299149
Growth 5yr High Est,0.1559559212530259
Growth 5yr Consensus Est,0.13870445635300868
Growth 5yr Actual/Est,0.13186322312477744
Growth 3yr Historic,-0.03808627182471752
Price/Earnings (TTM),11.84867
Price/Sales (TTM),3.16819
Price/Book (MRQ),1.46885
Price/Cash Flow (TTM),9.41236
5yr Low,6.82
5yr High,17.79
5yr Avg Return,0.025150000000000006
EPS Growth 5yr,0.0495234
Revenue Growth 5yr,0.0974952
Dividend Growth 5yr,0.1646586
Short Int Current Month,51893810.0
Short Int Prev Month,50887835.0
Short Int Pct of Float,0.0363427
Days to Cover,2.99114
Float,1430.174
Shares Outstanding,1442.734
Institutions Holding Shares,1140.0
FCF Growth 5yr,0.36407388599151597
"Price/Earnings (TTM, GAAP)",11.85
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3546
Net Profit Margin (TTM),0.28850000000000003
Annual Dividend Yield,0.04070000000000001
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0848
EPS Growth (MRQ),0.1043
EPS Growth (TTM),0.3907
Revenue Growth (MRQ),0.1938
Revenue Growth (TTM),0.3627
Return On Equity (TTM),0.11710000000000001
Return On Assets (TTM),0.0113
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-09-20 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-21 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
