,TUP
% Above Low,0.2016
% Held by Institutions,0.6559
52-Wk Range,['3.87 - 21.10']
Annual Dividend $,
Annual Dividend %,
Ask,4.74
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,2.3
Bid,4.44
Bid Size,100.0
Closing Price,4.65
Day Change $,0.23
Day Change %,0.052000000000000005
Day High,4.66
Day Low,4.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.37
Ex-dividend Date,No dividend
Historical Volatility,1.176
Last (size),50.0
Last (time),7:00p ET 11/28/22
Market Cap,206.8M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",12.1
Prev Close,4.42
Short Interest,0.0857
Today's Open,4.36
Volume,864134.0
Volume 10-day Avg,954780.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.7555555555555555
Growth 1yr High Est,-0.7228571428571429
Growth 1yr Consensus Est,-0.7392063492063492
Growth 2yr Low Est,-0.4362193362193362
Growth 2yr High Est,-0.3253460972017673
Growth 2yr Consensus Est,-0.38078271671055175
Growth 5yr Low Est,0.03348268857822995
Growth 5yr High Est,-0.09678857206658764
Growth 5yr Consensus Est,-0.03165294174417885
Growth 5yr Actual/Est,0.029176205738705746
Growth 3yr Historic,0.21272321428571428
Price/Earnings (TTM),12.09733
Price/Sales (TTM),0.14182
Price/Book (MRQ),
Price/Cash Flow (TTM),3.17085
5yr Low,1.15
5yr High,66.26
5yr Avg Return,0.04470000000000002
EPS Growth 5yr,-0.07816340000000001
Revenue Growth 5yr,-0.06254900000000001
Dividend Growth 5yr,
Short Int Current Month,3245946.0
Short Int Prev Month,3348727.0
Short Int Pct of Float,0.0856837
Days to Cover,1.18513
Float,37.91671
Shares Outstanding,44.47803
Institutions Holding Shares,228.0
FCF Growth 5yr,-0.30726839464197364
"Price/Earnings (TTM, GAAP)",12.1
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.635
Operating Profit Margin (TTM),0.0654
Net Profit Margin (TTM),0.0163
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.9165
EPS Growth (TTM),-0.8843000000000001
Revenue Growth (MRQ),-0.11050000000000001
Revenue Growth (TTM),-0.16280000000000003
Return On Equity (TTM),
Return On Assets (TTM),0.02
Return On Investment (TTM),0.052199999999999996
Revenue Per Employee (TTM),138620.0
Total Debt/Total Capital (MRQ),1.3337999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),0.62
Interest Coverage (MRQ),3.0
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-05-05 00:00:00
theStreet since,2022-05-05 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-06-03 00:00:00
cfra since,
marketEdge opinion since,
