,BXC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",1.97,17.46,Valuation,0.11282932416953034
Price/Sales (TTM),0.13,2.11,Valuation,0.06161137440758294
Price/Book (MRQ),1.09,6.17,Valuation,0.1766612641815235
"PEG Ratio (TTM, GAAP)",,0.31,Valuation,
Gross Profit Margin (TTM),0.1913,0.42710000000000004,Profitability,0.447904472020604
Operating Profit Margin (TTM),0.10890000000000001,0.14730000000000001,Profitability,0.7393075356415478
Net Profit Margin (TTM),0.0738,0.0835,Profitability,0.8838323353293414
Annual Dividend Yield,,0.0125,Dividend,
Dividend Change %,,0.053099999999999994,Dividend,
"Dividend Growth Rate, 3 Years",,0.0517,Dividend,
EPS Growth (MRQ),-0.1479,0.4814,Gowth rates,-0.3072289156626506
EPS Growth (TTM),0.3834,0.5656,Gowth rates,0.6778642149929279
Revenue Growth (MRQ),-0.1441,0.1985,Gowth rates,-0.7259445843828716
Revenue Growth (TTM),0.09730000000000001,0.2242,Gowth rates,0.4339875111507583
Return On Equity (TTM),0.8044,0.3129,Effectiveness,2.5707893895813356
Return On Assets (TTM),0.2469,0.1319,Effectiveness,1.8718726307808948
Return On Investment (TTM),0.3072,0.17420000000000002,Effectiveness,1.763490241102181
Revenue Per Employee (TTM),2226472.0,1897425.0,Effectiveness,1.1734176581419555
Total Debt/Total Capital (MRQ),0.5032,0.4449,Financial strength,1.1310406832996178
Change in Debt/Total Capital Quarter over Quarter,-0.0011,0.0005,Financial strength,-2.2
Quick Ratio (MRQ),2.28,1.09,Financial strength,2.0917431192660545
Interest Coverage (MRQ),8.69,26.1,Financial strength,0.3329501915708812
