,BXC
Price/Earnings (TTM),1.96853
Price/Sales (TTM),0.1328
Price/Book (MRQ),1.08954
Price/Cash Flow (TTM),1.66694
5yr Low,3.6
5yr High,100.01
5yr Avg Return,0.6931500000000002
EPS Growth 5yr,0.7603906
Revenue Growth 5yr,0.1785601
Dividend Growth 5yr,
Short Int Current Month,475183.0
Short Int Prev Month,523560.0
Short Int Pct of Float,0.0543041
Days to Cover,4.19369
Float,8.80691
Shares Outstanding,9.03547
Institutions Holding Shares,216.0
% Held by Institutions,0.860544
FCF Growth 5yr,-118.5357493928977
