,BXC
% Above Low,0.1697
% Held by Institutions,0.8604999999999999
52-Wk Range,['57.50 - 100.01']
Annual Dividend $,
Annual Dividend %,
Ask,80.43
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,66.3
Bid Size,100.0
Closing Price,67.25
Day Change $,-0.83
Day Change %,-0.012199999999999999
Day High,69.27
Day Low,67.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",34.16
Ex-dividend Date,No dividend
Historical Volatility,0.675
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,608.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",1.97
Prev Close,68.08
Short Interest,0.054299999999999994
Today's Open,68.4
Volume,17929.0
Volume 10-day Avg,73206.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.5876698707325159
Growth 2yr High Est,-0.5161090458488229
Growth 2yr Consensus Est,-0.5518894582906694
Growth 5yr Low Est,-0.5876698707325159
Growth 5yr High Est,-0.5161090458488229
Growth 5yr Consensus Est,-0.5518894582906694
Growth 5yr Actual/Est,-0.8837549591694241
Growth 3yr Historic,-0.7540517961570596
Price/Earnings (TTM),1.96853
Price/Sales (TTM),0.1328
Price/Book (MRQ),1.08954
Price/Cash Flow (TTM),1.66694
5yr Low,3.6
5yr High,100.01
5yr Avg Return,0.6931500000000002
EPS Growth 5yr,0.7603906
Revenue Growth 5yr,0.1785601
Dividend Growth 5yr,
Short Int Current Month,475183.0
Short Int Prev Month,523560.0
Short Int Pct of Float,0.0543041
Days to Cover,4.19369
Float,8.80691
Shares Outstanding,9.03547
Institutions Holding Shares,216.0
FCF Growth 5yr,-118.5357493928977
"Price/Earnings (TTM, GAAP)",1.97
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1913
Operating Profit Margin (TTM),0.10890000000000001
Net Profit Margin (TTM),0.0738
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1479
EPS Growth (TTM),0.3834
Revenue Growth (MRQ),-0.1441
Revenue Growth (TTM),0.09730000000000001
Return On Equity (TTM),0.8044
Return On Assets (TTM),0.2469
Return On Investment (TTM),0.3072
Revenue Per Employee (TTM),2226472.0
Total Debt/Total Capital (MRQ),0.5032
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),2.28
Interest Coverage (MRQ),8.69
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-23 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-05-05 00:00:00
