,ALKS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),3.51,45.03,Valuation,0.07794803464357095
Price/Book (MRQ),3.81,12.61,Valuation,0.30214115781126094
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8075,0.5874,Profitability,1.374702076949268
Operating Profit Margin (TTM),-0.1054,-4.7459,Profitability,0.022208643249963127
Net Profit Margin (TTM),-0.11410000000000001,-4.5467,Profitability,0.025095123936041522
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-1.1171,-0.0014000000000000002,Gowth rates,797.9285714285713
EPS Growth (TTM),-0.37570000000000003,0.027200000000000002,Gowth rates,-13.8125
Revenue Growth (MRQ),-0.0864,1.3963999999999999,Gowth rates,-0.06187338871383559
Revenue Growth (TTM),0.002,0.9747,Gowth rates,0.0020519134092541295
Return On Equity (TTM),-0.1207,0.1967,Effectiveness,-0.6136248093543467
Return On Assets (TTM),-0.06559999999999999,0.0016,Effectiveness,-40.99999999999999
Return On Investment (TTM),-0.0857,0.0219,Effectiveness,-3.91324200913242
Revenue Per Employee (TTM),511797.0,1476201.0,Effectiveness,0.3466987219220147
Total Debt/Total Capital (MRQ),0.21989999999999998,0.4675,Financial strength,0.4703743315508021
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0036,Financial strength,0.05555555555555556
Quick Ratio (MRQ),1.89,2.06,Financial strength,0.9174757281553397
Interest Coverage (MRQ),-46.19,2.69,Financial strength,-17.171003717472118
