,DY
% Above Low,0.1996
% Held by Institutions,0.9442
52-Wk Range,['76.21 - 122.13']
Annual Dividend $,
Annual Dividend %,
Ask,93.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,75.01
Bid Size,100.0
Closing Price,91.42
Day Change $,-0.04
Day Change %,-0.0004
Day High,92.73
Day Low,89.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.94
Ex-dividend Date,No dividend
Historical Volatility,0.483
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",23.2
Prev Close,91.46
Short Interest,0.0433
Today's Open,90.76
Volume,232601.0
Volume 10-day Avg,689383.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.5742971887550199
Growth 1yr High Est,0.4517241379310346
Growth 1yr Consensus Est,0.5130106633430273
Growth 2yr Low Est,0.31776083927546916
Growth 2yr High Est,0.4681423540011468
Growth 2yr Consensus Est,0.392951596638308
Growth 5yr Low Est,0.21184055951697944
Growth 5yr High Est,0.3120949026674312
Growth 5yr Consensus Est,0.26196773109220534
Growth 5yr Actual/Est,0.4249169529359
Growth 3yr Historic,-0.0706580179680183
Price/Earnings (TTM),23.19786
Price/Sales (TTM),0.73979
Price/Book (MRQ),3.14696
Price/Cash Flow (TTM),10.2702
5yr Low,12.24
5yr High,123.99
5yr Avg Return,0.04091666666666666
Short Int Current Month,1231042.0
Short Int Prev Month,1259035.0
Short Int Pct of Float,0.0432862
Days to Cover,3.32283
Float,28.4323
Shares Outstanding,29.55666
Institutions Holding Shares,364.0
FCF Growth 5yr,-0.25915512771786986
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",23.2
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.16460000000000002
Operating Profit Margin (TTM),0.046900000000000004
Net Profit Margin (TTM),0.032400000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.23010000000000003
EPS Growth (TTM),1.9456
Revenue Growth (MRQ),0.0722
Revenue Growth (TTM),0.17079999999999998
Return On Equity (TTM),0.1416
Return On Assets (TTM),0.0524
Return On Investment (TTM),0.06480000000000001
Revenue Per Employee (TTM),243110.0
Total Debt/Total Capital (MRQ),0.49119999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),2.98
Interest Coverage (MRQ),7.3
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-09-30 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-05-31 00:00:00
