,MEI
% Below High,0.08650000000000001
% Held by Institutions,0.981
52-Wk Range,['33.91 - 49.94']
Annual Dividend $,0.56
Annual Dividend %,0.0123
Ask,50.05
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,18.96
Bid Size,100.0
Closing Price,45.62
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",2.52
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.319
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.11
Prev Close,45.62
Short Interest,0.0183
Today's Open,
Volume,73103.0
Volume 10-day Avg,147375.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.003717472118959231
Growth 1yr High Est,0.07407407407407396
Growth 1yr Consensus Est,0.038895773096516595
Growth 2yr Low Est,0.11482169902244255
Growth 2yr High Est,0.14048531289910593
Growth 2yr Consensus Est,0.12765350596077424
Growth 5yr Low Est,0.0162617811882399
Growth 5yr High Est,0.02793496414186067
Growth 5yr Consensus Est,0.022098372665050284
Growth 5yr Actual/Est,0.023146453067562106
Growth 3yr Historic,-0.0409156305988381
Price/Earnings (TTM),18.10907
Price/Sales (TTM),1.44061
Price/Book (MRQ),1.83477
Price/Cash Flow (TTM),11.35813
5yr Low,20.99
5yr High,50.2
5yr Avg Return,0.05044999999999999
EPS Growth 5yr,0.0174704
Revenue Growth 5yr,0.0734196
Dividend Growth 5yr,0.0923885
Short Int Current Month,638811.0
Short Int Prev Month,731920.0
Short Int Pct of Float,0.0182816
Days to Cover,6.72114
Float,34.95437
Shares Outstanding,36.57409
Institutions Holding Shares,274.0
FCF Growth 5yr,0.3508382419953627
"Price/Earnings (TTM, GAAP)",18.11
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2213
Operating Profit Margin (TTM),0.09640000000000001
Net Profit Margin (TTM),0.0817
Annual Dividend Yield,0.0123
Dividend Change %,0.2727
"Dividend Growth Rate, 3 Years",0.0837
EPS Growth (MRQ),0.3285
EPS Growth (TTM),-0.2605
Revenue Growth (MRQ),-0.021800000000000003
Revenue Growth (TTM),-0.0225
Return On Equity (TTM),0.10250000000000001
Return On Assets (TTM),0.0664
Return On Investment (TTM),0.07730000000000001
Revenue Per Employee (TTM),165457.0
Total Debt/Total Capital (MRQ),0.1852
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),2.38
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-04 00:00:00
theStreet since,2020-11-06 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
