,MEI
Price/Earnings (TTM),18.10907
Price/Sales (TTM),1.44061
Price/Book (MRQ),1.83477
Price/Cash Flow (TTM),11.35813
5yr Low,20.99
5yr High,50.2
5yr Avg Return,0.05044999999999999
EPS Growth 5yr,0.0174704
Revenue Growth 5yr,0.0734196
Dividend Growth 5yr,0.0923885
Short Int Current Month,638811.0
Short Int Prev Month,731920.0
Short Int Pct of Float,0.0182816
Days to Cover,6.72114
Float,34.95437
Shares Outstanding,36.57409
Institutions Holding Shares,274.0
% Held by Institutions,0.9809990000000001
FCF Growth 5yr,0.3508382419953627
