,NN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),120.16,9.39,Valuation,12.796592119275823
Price/Book (MRQ),3.89,12.63,Valuation,0.3079968329374505
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),-3.9602,0.7206,Profitability,-5.495698029419928
Operating Profit Margin (TTM),-20.7308,0.2172,Profitability,-95.44567219152853
Net Profit Margin (TTM),-23.485500000000002,0.1553,Profitability,-151.2266580811333
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-23.8614,-0.0752,Gowth rates,317.3058510638298
EPS Growth (TTM),0.6927,-0.2824,Gowth rates,-2.4529036827195467
Revenue Growth (MRQ),-0.6459999999999999,0.15560000000000002,Gowth rates,-4.151670951156811
Revenue Growth (TTM),2.702,0.1906,Gowth rates,14.176285414480589
Return On Equity (TTM),,0.2189,Effectiveness,
Return On Assets (TTM),-0.9583,0.10740000000000001,Effectiveness,-8.922718808193668
Return On Investment (TTM),-1.068,0.1387,Effectiveness,-7.7000720980533535
Revenue Per Employee (TTM),51525.0,667721.0,Effectiveness,0.0771654628205493
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0004,Financial strength,-25.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
