,NN
% Above Low,0.9188
% Held by Institutions,0.5357999999999999
52-Wk Range,['1.85 - 9.50']
Annual Dividend $,
Annual Dividend %,
Ask,11.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,1.8
Bid Size,100.0
Closing Price,3.55
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.76
Ex-dividend Date,No dividend
Historical Volatility,0.763
Last (size),19.0
Last (time),1:00p ET 11/25/22
Market Cap,377.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.55
Short Interest,0.0489
Today's Open,
Volume,64793.0
Volume 10-day Avg,368803.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-22 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.0666666666666669
Growth 2yr High Est,-0.18604651162790697
Growth 2yr Consensus Est,0.44031007751937995
Growth 5yr Low Est,1.0666666666666669
Growth 5yr High Est,-0.18604651162790697
Growth 5yr Consensus Est,0.44031007751937995
Growth 5yr Actual/Est,-0.2400378225043901
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),120.1602
Price/Book (MRQ),3.89383
Price/Cash Flow (TTM),
5yr Low,1.85
5yr High,15.32
5yr Avg Return,-0.23446666666666668
Short Int Current Month,2764994.0
Short Int Prev Month,2790419.0
Short Int Pct of Float,0.048887
Days to Cover,7.94888
Float,56.20431
Shares Outstanding,106.3841
Institutions Holding Shares,91.0
FCF Growth 5yr,0.48706616312208606
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-3.9602
Operating Profit Margin (TTM),-20.7308
Net Profit Margin (TTM),-23.485500000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-23.8614
EPS Growth (TTM),0.6927
Revenue Growth (MRQ),-0.6459999999999999
Revenue Growth (TTM),2.702
Return On Equity (TTM),
Return On Assets (TTM),-0.9583
Return On Investment (TTM),-1.068
Revenue Per Employee (TTM),51525.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
