,XPOF
% Below High,0.2011
% Held by Institutions,0.8526
52-Wk Range,['11.20 - 26.90']
Annual Dividend $,
Annual Dividend %,
Ask,21.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,21.24
Bid Size,100.0
Closing Price,21.49
Day Change $,-0.38
Day Change %,-0.0174
Day High,21.86
Day Low,21.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.04
Ex-dividend Date,No dividend
Historical Volatility,0.711
Last (size),25.0
Last (time),7:00p ET 11/28/22
Market Cap,592.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,21.87
Short Interest,0.1118
Today's Open,21.86
Volume,120230.0
Volume 10-day Avg,239255.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-7.75
Growth 2yr High Est,7.08
Growth 2yr Consensus Est,-0.33499999999999996
Growth 5yr Low Est,-7.75
Growth 5yr High Est,7.08
Growth 5yr Consensus Est,-0.33499999999999996
Growth 5yr Actual/Est,3.9767045454545458
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),4.82574
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,9.87
5yr High,26.9
5yr Avg Return,0.43034999999999995
Short Int Current Month,1731644.0
Short Int Prev Month,1825018.0
Short Int Pct of Float,0.1118083
Days to Cover,5.11603
Float,24.95975
Shares Outstanding,49.21876
Institutions Holding Shares,127.0
FCF Growth 5yr,8.42240203816728
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7223
Operating Profit Margin (TTM),-0.0716
Net Profit Margin (TTM),-0.11900000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.4658000000000002
EPS Growth (TTM),
Revenue Growth (MRQ),0.0706
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),-0.0635
Return On Investment (TTM),-0.11539999999999999
Revenue Per Employee (TTM),961453.0
Total Debt/Total Capital (MRQ),0.6379
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),0.82
Interest Coverage (MRQ),3.59
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-11-25 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
