,XPOF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,114.03,Valuation,
Price/Sales (TTM),4.83,5.62,Valuation,0.8594306049822064
Price/Book (MRQ),,8.49,Valuation,
"PEG Ratio (TTM, GAAP)",,0.53,Valuation,
Gross Profit Margin (TTM),0.7223,0.4054,Profitability,1.781697089294524
Operating Profit Margin (TTM),-0.0716,0.163,Profitability,-0.43926380368098156
Net Profit Margin (TTM),-0.11900000000000001,0.0779,Profitability,-1.5275994865211813
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),-1.4658000000000002,0.3309,Gowth rates,-4.42973708068903
EPS Growth (TTM),,2.1359,Gowth rates,
Revenue Growth (MRQ),0.0706,0.38439999999999996,Gowth rates,0.18366285119667014
Revenue Growth (TTM),,0.7695000000000001,Gowth rates,
Return On Equity (TTM),,0.19090000000000001,Effectiveness,
Return On Assets (TTM),-0.0635,0.0758,Effectiveness,-0.837730870712401
Return On Investment (TTM),-0.11539999999999999,0.1005,Effectiveness,-1.1482587064676615
Revenue Per Employee (TTM),961453.0,285753.0,Effectiveness,3.3646295926901906
Total Debt/Total Capital (MRQ),0.6379,1.1596,Financial strength,0.5501034839599862
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.002,Financial strength,0.44999999999999996
Quick Ratio (MRQ),0.82,0.81,Financial strength,1.0123456790123455
Interest Coverage (MRQ),3.59,40.22,Financial strength,0.08925907508702138
