,PLAY
% Above Low,0.3052
% Held by Institutions,0.9676
52-Wk Range,['29.60 - 52.54']
Annual Dividend $,
Annual Dividend %,
Ask,38.66
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,38.6
Bid Size,100.0
Day Change $,-0.23
Day Change %,-0.0059
Day High,39.04
Day Low,38.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.68
Ex-dividend Date,No dividend
Historical Volatility,0.6409999999999999
Last (size),100.0
Last (time),10:57a ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.5
Prev Close,38.86
Price,38.63
Short Interest,0.1177
Today's Open,38.59
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.013513513513513375
Growth 1yr High Est,0.29957805907172985
Growth 1yr Consensus Est,0.1565457862926216
Growth 2yr Low Est,0.17342342342342332
Growth 2yr High Est,0.308879938626774
Growth 2yr Consensus Est,0.24115168102509865
Growth 5yr Low Est,-0.9792422024842722
Growth 5yr High Est,-0.8742585875677891
Growth 5yr Consensus Est,-0.9267503950260306
Growth 5yr Actual/Est,-0.8763309971288968
Growth 3yr Historic,-1.0202273540995346
Price/Earnings (TTM),14.49957
Price/Sales (TTM),1.18595
Price/Book (MRQ),5.25869
Price/Cash Flow (TTM),6.87706
5yr Low,4.61
5yr High,67.05
5yr Avg Return,-0.02825000000000001
EPS Growth 5yr,0.010077899999999999
Revenue Growth 5yr,0.0534463
Dividend Growth 5yr,
Short Int Current Month,4919046.0
Short Int Prev Month,5271605.0
Short Int Pct of Float,0.11765629999999999
Days to Cover,4.032
Float,41.97252
Shares Outstanding,48.23568
Institutions Holding Shares,295.0
FCF Growth 5yr,0.07207908294638055
"Price/Earnings (TTM, GAAP)",14.5
"PEG Ratio (TTM, GAAP)",1.83
Gross Profit Margin (TTM),0.8399
Operating Profit Margin (TTM),0.1386
Net Profit Margin (TTM),0.0837
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5640999999999999
EPS Growth (TTM),4.666600000000001
Revenue Growth (MRQ),0.0383
Revenue Growth (TTM),0.8190999999999999
Return On Equity (TTM),0.4514
Return On Assets (TTM),0.0438
Return On Investment (TTM),0.049800000000000004
Revenue Per Employee (TTM),114673.0
Total Debt/Total Capital (MRQ),0.7751000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0049
Quick Ratio (MRQ),0.41
Interest Coverage (MRQ),4.23
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2021-10-14 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
